Token,BIO1
Блокчейн,B
дегеніміз,O
не,O
?,O
"
",O
Блокчейн,B
-бұл,O
компьютерлік,O
желінің,B
түйіндері,I
арасында,O
ортақ,O
пайдаланылатын,B
үлестірілген,B
дерекқор,O
немесе,O
тізілім,O
.,O
Ол,O
криптовалюта,B
жүйелерінде,I
транзакциялардың,B
қауіпсіз,B
әрі,O
орталықтандырылмаған,O
жазбаларын,B
сақтаудағы,I
негізгі,O
рөлімен,O
айрықша,O
белгілі,O
",",O
дегенмен,O
оның,O
қолданыс,O
аясы,O
криптовалютамен,B
шектелмейді,O
.,O
Блокчейн,B
кез,O
келген,O
саладағы,O
деректердің,O
өзгермеуін,O
қамтамасыз,O
ету,O
үшін,O
пайдалануға,B
болады,O
-бұл,O
термин,O
өзгеріске,O
ұшырамайтындықты,O
білдіреді,O
.,O
"
",O
Блокты,B
өзгерту,O
мүмкіндігі,O
болмағандықтан,O
",",O
тексеріс,O
пайдаланушы,B
немесе,O
бағдарлама,B
деректерді,I
енгізетін,O
жерде,O
ғана,O
қажет,O
.,O
Бұл,O
аспект,O
әдетте,O
аудиторлар,O
немесе,O
шығындар,O
мен,O
қателіктер,B
жіберетін,O
басқа,O
адамдар,O
болып,O
табылатын,O
сенімді,O
үшінші,O
тарапқа,O
деген,O
қажеттілікті,O
азайтады,O
.,O
"
",O
2009,O
жылы,O
Биткоин,B
енгізілгеннен,O
бері,O
блокчейнді,B
пайдалану,B
әртүрлі,O
криптовалюталарды,B
",",O
орталықтандырылмаған,B
қаржы,I
(,O
DeFi,B
),O
қолданбаларын,B
",",O
өзгермейтін,O
таңбалауыштарды,O
(,O
NFTs,B
),O
және,O
смарт,B
келісімшарттарды,I
жасау,O
арқылы,O
күрт,O
өсті,O
.,O
"

",O
НЕГІЗГІ,O
тұжырымдар,O
"
",O
Блокчейн,B
-әдеттегі,O
дерекқордан,O
ақпаратты,O
сақтау,O
тәсілімен,O
ерекшеленетін,O
ортақ,O
дерекқордың,O
бір,O
түрі,O
;,O
блокчейндер,B
деректерді,O
криптография,B
арқылы,O
байланыстырылған,O
блоктарда,B
сақтайды,O
.,O
"
",O
Блокчейнде,B
әртүрлі,O
ақпарат,O
түрлерін,O
сақтауға,O
болады,O
",",O
бірақ,O
транзакциялар,B
үшін,O
ең,O
кең,O
таралған,O
пайдалану,B
түрі,O
-тізілім,O
.,O
"
",O
Биткоин,B
жағдайында,O
блокчейн,B
орталықтандырылмаған,O
",",O
демек,O
бақылауды,O
жалғыз,O
адам,O
немесе,O
жеке,O
топ,O
ала,B
алмайды,O
",",O
оның,O
орнына,O
бақылауды,O
барлық,O
пайдаланушылар,B
ұжым,O
ретінде,O
сақтайды,O
.,O
"
",O
Орталықтандырылмаған,B
блокчейндер,I
өзгермейді,O
",",O
яғни,O
енгізілген,O
деректер,O
қайтарылмайды,O
.,O
Биткоин,B
үшін,O
транзакциялар,B
тұрақты,O
түрде,O
жазылады,O
және,O
оны,O
кез,O
келген,O
қолданушы,O
көре,O
алады,O
.,O
"

",O
Блокчейн,B
қалай,O
жұмыс,O
істейді,O
?,O
"
",O
Блокчейн,B
электрондық,O
кестелермен,O
немесе,O
мәліметтер,B
базасымен,I
біршама,O
ұқсас,O
",",O
себебі,O
бұл,O
ақпарат,O
енгізілетін,O
және,O
сақталатын,O
мәліметтер,B
базасы,I
.,O
Дәстүрлі,O
дерекқор,O
немесе,O
электрондық,O
кесте,O
мен,O
блокчейн,B
арасындағы,O
басты,O
айырмашылық,O
-бұл,O
деректердің,O
құрылымы,O
мен,O
қол,B
жетімділігі,O
.,O
"
",O
Блокчейн,B
скрипт,B
деп,O
аталатын,O
әдетте,O
дерекқорда,O
орындалатын,O
тапсырмаларды,O
(,O
ақпаратты,O
енгізу,O
және,O
оған,O
қол,B
жеткізу,O
",",O
сақтау,O
),O
атқаратын,O
бағдарламалардан,B
тұрады,O
.,O
Блокчейн,B
үлестірілген,B
болып,O
табылады,O
",",O
яғни,O
көптеген,O
құрылғыларда,O
бірнеше,O
көшірмелер,O
сақталады,O
және,O
оның,O
жарамды,O
болуы,O
үшін,O
олардың,O
барлығы,O
сәйкес,O
келуі,O
керек,O
.,O
"
",O
Блокчейн,B
транзакция,I
туралы,O
ақпаратты,O
жинайды,O
және,O
оны,O
блок,B
деп,O
аталатын,O
4,O
МБ,O
файлға,O
енгізеді,O
.,O
Блок,B
толғаннан,O
кейін,O
белгілі,O
бір,O
ақпарат,O
шифрлау,B
алгоритмі,B
арқылы,O
өтіп,O
",",O
блок,B
тақырыбының,I
хэші,I
деп,O
аталатын,O
он,O
алтылық,O
санды,O
құрайды,O
.,O
"
",O
Содан,O
кейін,O
хэш,B
келесі,O
блок,B
тақырыбына,I
енгізіледі,O
және,O
сол,O
блоктың,B
тақырыбындағы,I
басқа,O
ақпаратпен,O
шифрланып,O
",",O
блоктар,B
тізбегін,O
жасайды,O
.,O
"

",O
Транзакция,B
Процесі,O
"
",O
Транзакциялар,B
іске,O
асырылып,O
жатқан,O
блокчейнге,B
байланысты,O
нақты,O
бір,O
әрекетті,O
жүзеге,O
асырады,O
.,O
Мысалы,O
",",O
Bitcoin,O
блокчейнінде,B
",",O
егер,O
сіз,O
блокчейн,B
интерфейсін,O
қамтамасыз,O
ететін,O
қолданба,B
болып,O
табылатын,O
криптовалюта,B
әмияныңыз,I
арқылы,O
транзакцияны,B
бастасаңыз,O
",",O
ол,O
оқиғалар,O
тізбегін,O
бастайды,O
.,O
"
",O
Биткоинде,B
сіздің,O
транзакцияңыз,B
жады,B
пулына,I
жіберіледі,O
.,O
Транзакция,B
жады,B
пулында,I
сақталып,O
",",O
майнер,B
оны,O
алғанға,O
дейін,O
кезекте,O
тұрады,O
.,O
Ол,O
блокқа,B
енгізілгеннен,O
және,O
блок,B
транзакциялармен,B
толтырылғаннан,O
кейін,O
",",O
жабылып,O
",",O
майнинг,B
басталады,O
.,O
"

",O
Блокчейн,B
"
",O
Желідегі,B
әрбір,O
түйін,B
осылайша,O
өз,O
блоктарын,B
ұсынады,O
",",O
өйткені,O
олардың,O
барлығы,O
әртүрлі,O
транзакцияларды,B
таңдайды,O
.,O
Әрқайсысы,O
өз,O
блоктарында,B
жұмыс,O
істейді,O
",",O
бір,O
рет,O
пайдаланылған,B
санның,O
аббревиатурасы,O
"""",O
nonce,O
"""",O
сөзін,O
пайдаланып,B
",",O
қиындық,O
нысанасының,O
шешімін,O
табуға,O
тырысады,O
.,O
Әрбір,O
майнер,B
нөлдік,O
nonce,O
мәнімен,O
бастайды,O
.,O
Егер,O
алынған,O
хэш,B
мақсатты,O
хэшке,B
тең,O
емес,O
немесе,O
одан,O
кем,O
болса,O
",",O
nonce,O
мәніне,O
бір,O
қосылады,O
",",O
жаңа,O
хэш,B
жасалады,O
және,O
т.б,O
.,O
Nonce,O
шамамен,O
әр,B
"4,5",O
миллиард,O
әрекет,B
сайын,O
(,O
бұл,O
бір,O
секундтан,O
аз,B
уақытты,O
алады,O
),O
қайта,O
қосылып,O
",",O
қосымша,O
nonce,O
аталатын,O
басқа,O
мәнді,O
қосымша,O
есептегіш,B
ретінде,O
пайдаланады,B
.,O
Бұл,O
майнер,B
жарамды,B
хэш,I
жасағанша,O
жалғасады,O
",",O
нәтижесінде,O
ол,O
жарысты,O
жеңіп,O
",",O
сыйақы,O
алады,O
.,O
"
",O
Белгілі,O
бір,O
мән,O
табылғанға,O
дейін,O
осы,O
хэштерді,B
жасау,O
-бұл,O
"""",O
жұмыс,B
дәлелі,I
"""",O
(,O
proof,B
-,I
of,I
-,I
work,I
),O
",",O
ол,O
майнердің,B
жұмысты,O
орындағанын,O
"""",O
дәлелдейді,O
"""",O
.,O
Хэшті,B
тексеру,O
үшін,O
қажет,O
жұмыс,O
мөлшері,O
Bitcoin,O
желісінің,B
көп,O
есептеу,B
қуаты,I
мен,O
энергияны,B
тұтынуының,I
себебі,O
болып,O
табылады,O
.,O
"
",O
Блок,B
жабылғаннан,O
кейін,O
транзакция,B
аяқталған,O
болып,O
есептеледі,B
.,O
Алайда,O
",",O
басқа,O
бес,O
блок,B
тексерілгенге,O
дейін,O
блок,B
расталған,O
болып,O
саналмайды,O
.,O
"
",O
Растау,O
желіге,B
шамамен,O
бір,O
сағат,O
уақытты,O
қажет,O
етеді,O
",",O
өйткені,O
ол,O
бір,O
блокқа,B
орта,B
есеппен,B
10,O
минуттан,O
аз,B
уақыт,O
жұмсайды,O
(,O
сіздің,O
транзакцияңыз,B
бар,O
алғашқы,O
блок,B
және,O
одан,O
кейінгі,O
бес,O
блокты,B
10-ға,O
көбейтсек,O
",",O
60,O
минут,O
болады,O
),O
.,O
"
",O
Бұл,O
процесті,O
барлық,O
блокчейндер,B
ұстанбайды,O
.,O
Мысалы,O
",",O
Ethereum,B
желісі,I
блоктарды,B
тексеру,O
үшін,O
ether,B
үлесі,B
бар,O
барлық,O
пайдаланушылардан,B
кездейсоқ,O
түрде,O
бір,O
валидаторды,B
таңдайды,O
",",O
содан,O
кейін,O
оларды,O
желі,B
растайды,O
.,O
Бұл,O
Bitcoin,O
процесіне,O
қарағанда,O
әлдеқайда,O
жылдам,O
және,O
қуатты,O
азырақ,O
қажет,O
етеді,O
.,O
"

",O
Блокчейнді,B
орталықсыздандыру,B
"
",O
Блокчейн,B
дерекқордағы,I
деректерді,O
бірнеше,O
желі,B
түйіндеріне,I
(,O
компьютерлер,O
немесе,O
блокчейнге,B
арналған,O
бағдарламалық,B
жасақтаманы,I
басқаратын,O
әртүрлі,O
құрылғыларға,O
),O
таратуға,O
мүмкіндік,O
береді,O
.,O
Бұл,O
артықтық,O
жасаумен,O
қатар,O
деректердің,O
тұтастығын,O
қамтамасыз,O
етеді,O
.,O
Мысалы,O
",",O
егер,O
біреу,O
дерекқордың,O
бір,O
нұсқасындағы,O
жазбаны,B
өзгертуге,O
әрекеттенсе,O
",",O
басқа,O
түйіндер,B
оның,O
орын,O
алуына,O
жол,O
бермейді,O
",",O
себебі,O
олар,O
әр,B
блоктық,B
хэштерді,I
салыстырады,O
.,O
Осылайша,O
",",O
желідегі,B
бірде,O
-,O
бір,O
жеке,O
түйін,B
блоктағы,B
ақпаратты,O
өзгерте,O
алмайды,O
.,O
"
",O
Үлестіру,B
мен,O
жұмыстың,O
орындалғанының,O
шифрланған,O
дәлелі,O
арқасында,O
ақпарат,O
пен,O
тарих,O
(,O
криптовалютадағы,B
транзакциялар,B
сиақты,O
),O
қайтымсыз,O
болып,O
табылады,O
.,O
Мұндай,O
жазба,B
транзакциялар,B
тізімі,B
болуы,O
мүмкін,O
(,O
мысалы,O
",",O
криптовалютамен,B
),O
",",O
алайда,O
қоғамдық,O
емес,O
блокчейнде,B
заңды,B
келісімшарттар,I
",",O
мемлекеттік,B
сәйкестендірулер,I
немесе,O
компанияның,O
инвентаризациясы,O
сияқты,O
басқа,O
да,O
көптеген,O
ақпаратты,O
сақтауға,O
болады,O
.,O
Блокчейндердің,B
көпшілігі,O
бұндай,O
ақпаратты,O
"""",O
сақтамайды,O
"""",O
;,O
оның,O
орнына,O
олар,O
хэштеу,B
алгоритмі,I
арқылы,O
жіберіліп,O
",",O
блокчейнде,B
таңбалауышпен,O
ұсынылуы,O
ықтимал,O
.,O
"

",O
Блокчейннің,B
ашықтығы,O
"
",O
Bitcoin,O
блокчейнінің,B
орталықтандырылмаған,O
сипатына,O
байланысты,O
барлық,O
транзакцияларды,B
жүктеп,O
алып,O
тексеру,O
арқылы,O
немесе,O
кез,O
келген,O
адамға,O
транзакцияларды,B
тікелей,O
эфирде,O
көруге,O
мүмкіндік,O
беретін,O
блокчейн,B
зерттеушілерін,O
пайдалану,B
арқылы,O
ашық,B
түрде,O
көруге,O
болады,O
.,O
Әрбір,O
түйіннің,B
жаңа,O
блоктар,B
расталып,O
",",O
қосылған,O
сайын,O
жаңартылатын,O
өз,O
блок,B
көшірмесі,O
бар,O
.,O
Бұл,O
сіз,O
қаласаңыз,O
Bitcoin,O
-,O
ның,O
жолын,O
бақылай,O
алатыныңызды,O
білдіреді,O
.,O
Мысалы,O
",",O
бұрындары,O
биржалар,O
хакерлердің,O
шабуылына,O
ұшырап,O
",",O
көп,O
мөлшерде,O
криптовалюталарды,B
жоғалтқан,O
жағдайлар,O
болған,O
.,O
"
",O
Хакерлер,O
анонимді,O
қалуы,O
мүмкін,O
екеніне,O
қарамастан,O
(,O
әмиян,B
мекенжайын,I
қоспағанда,O
),O
олар,O
шығарған,O
криптоны,B
оңай,O
бақылауға,O
болады,O
",",O
өйткені,O
әмиян,B
мекенжайлары,I
блокчейнде,B
жарияланады,O
.,O
"
",O
Әрине,O
",",O
Bitcoin,O
блокчейніндегі,B
(,O
және,O
көптеген,O
басқаларында,O
да,O
),O
жазбалар,B
шифрланған,O
.,O
Бұл,O
тек,O
мекенжай,B
тағайындалған,O
адам,O
ғана,O
өз,O
тұлғасын,B
жариялауға,O
мүмкіндігі,O
барын,O
білдіреді,O
.,O
Нәтижесінде,O
",",O
блокчейнде,B
қолданушылар,O
анонимді,O
бола,O
тұра,O
",",O
ашықтық,B
сақталады,O
.,O
"

",O
Блокчейн,B
қауіпсіз,I
бе,B
?,O
"
",O
Блокчейн,B
технологиясы,I
орталықтандырылмаған,B
қауіпсіздік,I
пен,O
сенімге,O
бірнеше,O
жолмен,O
қол,B
жеткізеді,O
.,O
Алдымен,O
жаңа,O
блоктар,B
әрқашан,O
сызықтық,O
және,O
хронологиялық,O
түрде,O
сақталады,O
.,O
Яғни,O
",",O
олар,O
әрқашан,O
блокчейннің,B
"""",O
