Token,BIO1
Article,O
2,B
(,O
https://blockchain.news/news/bitcoin-displays-potential-stability-amidst-global-economic-uncertainty,O
),O
"


",O
OKX,B
Ventures,I
Bitcoin,O
Layer,O
2,B
Solution,B
Bitlayer,B
-,I
ге,I
инвестиция,O
салуда,O
.,O
"


",O
OKX,B
Ventures,I
BitVM,B
негізіндегі,O
Bitcoin,O
Layer,O
2,B
шешімі,O
болып,O
табылатын,O
Bitlayer,B
-,I
ге,I
стратегиялық,O
инвестиция,O
салатынын,O
жариялады,O
.,O
"


",O
Джесси,B
А,I
Эллис,I
"


",O
May,O
20,O
",",O
2024,O
11:41,O
"


",O
OKX,B
Ventures,I
Bitlayer,B
-,I
ге,I
Инвестиция,O
Салуда,O
"


",O
OKX,B
Ventures,I
",",O
жетекші,O
криптовалюта,B
биржасының,I
инвестициялық,O
бөлімі,O
және,O
Web3,B
OKX,O
технологиялық,O
компаниясы,O
Ventures,O
Bitlayer,B
-,I
ге,I
стратегиялық,O
инвестиция,O
салатынын,O
жариялады,O
.,O
Bitlayer,B
-BitVM,O
негізіндегі,O
Биткоинның,B
(,O
BTC,B
),O
қауіпсіздігіне,O
эквивалентті,O
алғашқы,O
екінші,O
деңгейлі,B
(,O
Layer,O
2,B
),O
шешім,O
.,O
"


",O
Bitlayer,B
Мақсаты,O
"


",O
Bitlayer,B
Биткоин,B
желісінің,I
транзакциялық,B
мүмкіндіктерін,O
кеңейтуге,O
бағытталған,O
.,O
Компания,O
Taproot,B
және,O
BitVM,B
технологияларын,O
қолдайды,O
және,O
Discreet,O
Log,O
Contract,O
(,O
DLC,B
),O
құрылымын,O
пайдаланады,B
.,O
DLC,B
құрылымы,O
Bitlayer,B
-,I
ге,I
шартты,O
қаржылық,O
қосымшаларды,O
қауіпсіз,B
өңдеуге,O
мүмкіндік,O
береді,O
.,O
"


",O
Биткоинның,B
Үстемдігі,O
"


",O
Соңғы,O
15,O
жылда,O
Биткоин,B
2.28,O
триллионнан,O
астам,O
криптоактивтердің,B
53.4%-ын,O
құрады,O
.,O
Ethereum,B
үлесі,I
15.8,O
%,O
құрап,O
",",O
оның,O
биржада,O
тіркелген,O
Жалпы,O
Құлыптанған,O
Құны,O
(,O
ЖҚҚ,B
),O
$,O
90,O
миллиард,O
доллардан,O
асты,O
.,O
Екінші,O
деңгейлі,B
шешімдер,O
$,O
39,O
миллиард,O
долларға,O
жетті,O
.,O
Ordinals,B
",",O
Runes,B
және,O
BRC-20,O
хаттамалары,O
қарқын,O
алуда,O
:,O
Runes,B
және,O
Ordinals,B
нарықтық,O
құны,O
сәйкесінше,O
$,O
700,O
миллион,O
доллар,O
және,O
$,O
33,O
миллион,O
долларға,O
жетті,O
.,O
Бұл,O
жалпы,O
алғанда,O
шамамен,O
$,O
418,O
миллион,O
долларын,O
құрайды,O
.,O
Сонымен,O
қатар,O
",",O
11.39,O
миллионнан,O
астам,O
белсенді,B
Биткоин,I
пайдаланушылары,I
Биткоин,B
желісінде,B
әртүрлі,O
өзара,O
әрекеттесулерге,O
ұмтылуда,O
.,O
"


",O
OKX,B
Ventures,I
Негізін,O
Қалаушының,O
Пікірлері,O
"


",O
OKX,B
Ventures,I
негізін,O
қалаушы,O
Дора,B
Юэ,I
инвестиция,O
туралы,O
былай,O
деді,O
:,O
"""",O
Биткоин,B
пайдаланушының,B
құпиялылығын,I
сақтау,O
үшін,O
орталықсыздандыруға,B
",",O
сенімсіздікке,B
және,O
бүркеншік,O
атқа,O
негізделген,O
даму,O
философиясының,O
арқасында,O
сенімге,O
ие,O
болды,O
.,O
OKX,B
Ventures,I
бұрынғы,O
инвестициялық,O
портфельдерде,O
Биткоинды,B
масштабтауды,O
тік,O
",",O
көлденең,O
",",O
ішкі,O
және,O
қабатты,O
масштабтау,O
арқылы,O
қолдайды,O
.,O
 ,O
Bitlayer,B
Биткойнның,B
екінші,O
деңгейіндегі,B
екі,O
негізгі,O
мәселені,O
шешеді,O
:,O
L1,O
тексеру,O
және,O
сенімсіз,B
көпір,I
.,O
Бұл,O
BitVM,B
қауымдастығы,I
мен,O
жобасына,O
үлес,B
қосу,O
арқылы,O
жүзеге,O
асырылады,O
.,O
Bitlayer,B
Mainnet,I
V1,I
іске,O
қосылғаннан,O
бері,O
өткен,O
айда,O
$,O
179.600,O
жинақтап,O
",",O
қазір,O
Bitlayer,B
мен,O
басқа,O
Layer,O
1,O
тізбектері,B
",",O
соның,O
ішінде,O
Биткоин,B
/,O
EVM,O
тізбектері,B
арасындағы,O
бірнеше,O
көпірлерді,O
қолдайды,O
.,O
Біз,O
Bitlayer,B
-,I
де,I
шығарылатын,O
NFT,B
және,O
басқа,O
өтімді,O
активтері,B
сияқты,O
Биткоинның,B
күшеюін,O
асыға,O
күтеміз,O
"""",O
"


",O
Bitlayer,B
Туралы,O
"


",O
Bitlayer,B
–,O
BitVM,B
парадигмасына,I
негізделген,O
алғашқы,O
Bitcoin,O
Layer,O
2,B
шешімі,O
.,O
Bitlayer,B
-,I
дің,I
негізгі,O
мақсаты,O
–,O
криптографиялық,B
инновациялар,I
мен,O
блокчейн,B
протоколының,I
инженериясы,I
арқылы,O
BTC,B
-,O
ның,O
екінші,O
деңгейіндегі,B
қауіпсіздік,B
(,O
сенімсіздік,B
),O
пен,O
Тьюринг,O
толықтығы,O
арасындағы,O
тепе,O
-,O
теңдікті,O
қамтамасыз,O
ету,O
.,O
Bitlayer,B
Биткоинға,B
жоғары,O
масштабтылықты,O
енгізіп,O
",",O
оның,O
қауіпсіздігін,O
сақтай,O
отырып,O
",",O
пайдаланушыларға,B
жоғары,O
өткізу,O
қабілеті,O
мен,O
төмен,O
құны,O
бар,O
транзакциялық,B
тәжірибе,O
ұсынуды,O
көздейтін,O
биткойн,B
үшін,O
есептеу,B
қабатына,O
айналуды,O
мақсат,O
етеді,O
.,O
"


",O
OKX,B
Ventures,I
Туралы,O
"



",O
OKX,B
Ventures,I
-бастапқы,O
капитал,O
көлемі,O
100,O
миллион,O
АҚШ,B
долларын,O
құрайтын,O
",",O
әлемдегі,O
жетекші,O
криптовалюта,B
биржасы,I
және,O
Web3,B
технологиялық,I
компаниясы,O
OKX,O
-,O
тің,O
инвестициялық,O
бөлімі,O
.,O
Ол,O
әлемдік,O
ауқымдағы,O
үздік,O
блокчейн,B
жобаларын,I
зерттеуге,O
",",O
озық,O
блокчейн,B
технологиялық,O
инновацияларын,O
қолдауға,O
",",O
жаһандық,B
блокчейн,I
индустриясының,I
салауатты,O
дамуын,O
ынталандыруға,O
және,O
ұзақ,O
мерзімді,O
құрылымдық,O
құндылықтарға,O
инвестиция,O
салуға,O
бағытталған,O
.,O
Блокчейн,B
индустриясының,O
дамуына,O
үлес,B
қосатын,O
кәсіпкерлерді,O
қолдауға,O
деген,O
ұмтылысының,O
арқасында,O
OKX,B
Ventures,I
инновациялық,O
компанияларды,O
құруға,O
көмектеседі,O
және,O
блокчейн,B
жобаларына,I
жаһандық,O
ресурстар,O
мен,O
тарихи,O
тәжірибе,O
әкеледі,O
.,O
"


",O
