Token,BIO1
Article,O
5,O
(,O
https://blockchain.news/news/krafton-partners-with-solana-labs-to-develop-blockchain-based-games,O
),O
"


",O
Krafton,B
Solana,B
Labs,I
-,O
Пен,O
Блокчейнге,B
Негізделген,O
Ойындарды,O
Жасау,O
Үшін,O
Серіктестік,B
Орнатты,O
"


",O
ДК,B
және,O
мобильді,O
құрылғыларға,O
арналған,O
ойын,O
әзірлеушісі,O
Krafton,B
Metaverse,O
әлемінде,O
блокчейнге,B
негізделген,I
ойындар,I
мен,O
қызметтерді,O
дамыту,O
үшін,O
Solana,B
Labs,I
-,O
пен,O
серіктестік,B
орнатты,O
.,O
"


",O
Энни,B
Ли,I
"


",O
Mar,O
28,O
",",O
2022,O
09:05,O
"


",O
Krafton,B
Solana,B
Labs,I
-,O
Пен,O
Блокчейнге,B
Негізделген,O
Ойындарды,O
Жасау,O
Үшін,O
Серіктестік,B
Орнатты,O
"


",O
ДК,B
және,O
мобильді,O
құрылғыларға,O
арналған,O
ойын,O
әзірлеушісі,O
Krafton,B
Metaverse,O
әлемінде,O
блокчейнге,B
негізделген,I
ойындар,I
мен,O
қызметтерді,O
дамыту,O
үшін,O
Solana,B
Labs,I
-,O
пен,O
серіктестік,B
орнатты,O
.,O
"




",O
Krafton,B
",",O
бұрын,O
Bluehole,B
деген,O
атпен,O
белгілі,O
болған,O
",",O
KRAFTON,B
ретінде,O
стильдендірілген,O
",",O
Соннамның,B
Бунданг,B
-,I
гу,I
қаласында,O
орналасқан,O
бейне,O
ойындарды,O
әзірлейтін,O
және,O
тарататын,O
Оңтүстік,B
кореялық,I
компания,O
.,O
"


",O
Оңтүстік,B
Кореяның,I
ойын,O
индустриясындағы,O
алып,O
компания,O
нарықтағы,O
орнын,O
нығайту,O
мақсатында,O
блокчейн,B
технологиясын,I
пайдаланып,B
",",O
Metaverse,O
әлемінде,O
"""",O
ақша,B
табатын,O
"""",O
ойын,O
жасауды,O
жоспарлап,O
отыр,O
.,O
"


",O
Өткен,O
жылы,O
компания,O
тіпті,O
өзінің,O
өте,O
танымал,O
PUBG,B
ойынын,O
тегін,O
жасады,O
.,O
PUBG,B
Steam,B
-,O
да,O
ең,O
көп,O
жүктелген,O
ойындардың,O
қатарында,O
және,O
әдетте,O
10,O
миллионға,O
жуық,O
белсенді,O
пайдаланушысы,B
бар,O
.,O
"


",O
Krafton,B
компаниясындағы,O
Web,B
3.0,I
Roundtable,O
жетекшісі,O
Хёнчул,B
Парк,I
мәлімдемесінде,O
:,O
"


",O
"""",O
Solana,B
жоғары,O
жылдамдықты,O
және,O
төмен,O
комиссиялы,O
ең,O
жақсы,O
жаһандық,O
жоғары,O
өнімді,O
блокчейндердің,B
бірі,O
бола,O
отырып,O
",",O
Web,B
3.0,I
экожүйесі,B
мен,O
оның,O
технологиясының,O
ең,O
үздігін,O
ұсынады,O
.,O
Осы,O
ынтымақтастық,O
арқылы,O
KRAFTON,B
өзінің,O
блокчейн,B
инвестицияларын,O
жеделдету,O
және,O
блокчейнге,B
бағытталған,O
өнімдер,O
мен,O
қызметтерді,O
құру,O
үшін,O
қажетті,O
білім,O
алады,O
.,O
"""",O
"




",O
Келісімге,O
сәйкес,O
",",O
KRAFTON,B
және,O
Solana,B
Labs,I
блокчейн,B
және,O
NFT,B
негізіндегі,I
ойындар,I
мен,O
қызметтерді,O
дамыту,O
және,O
басқару,O
үшін,O
ұзақ,O
мерзімді,O
серіктестік,B
орнатады,O
.,O
Алайда,O
",",O
KRAFTON,B
блокчейн,B
технологиясын,I
қолданыстағы,O
ойындарға,O
кірістіретіні,O
туралы,O
әлі,O
хабарлаған,O
жоқ.,O
"


",O
Play,B
-,I
to,I
-,I
earn,I
(,O
P2E,B
),O
ойындарын,O
әзірлеуде,O
Ethereum,B
-,I
ның,I
Solidity,I
тілімен,O
салыстырғанда,O
",",O
Solana,B
-,O
ның,O
құрушы,O
тілі,O
Rust,B
-,O
тың,O
пайдалану,B
жеңілдігі,O
Solana-ға,B
бәсекелестікте,O
артықшылық,O
береді,O
.,O
"


",O
Соңғы,O
алты,O
айда,O
Solana,B
Web3,B
ойындарын,I
жақсарту,O
үшін,O
$,O
400,O
миллион,O
доллар,O
бөлді,O
.,O
"
",O
