Token,BIO1
4,O
-,O
бап,O
(,O
https://www.soldev.app/course/interact-with-wallets,O
),O
"

",O
Түйіндеме,B
"

",O
Әмияндар,B
сіздің,O
құпия,B
кілтіңізді,I
сақтайды,O
және,O
транзакцияға,B
қауіпсіз,I
қол,I
қоюды,I
басқарады,O
"

",O
Аппараттық,B
әмияндар,I
сіздің,O
құпия,B
кілтіңізді,I
бөлек,O
құрылғыда,O
сақтайды,O
"

",O
Бағдарламалық,B
әмияндар,I
компьютеріңізді,O
қауіпсіз,B
сақтау,O
үшін,O
пайдаланады,B
"

",O
Бағдарламалық,B
жасақтама,I
әмияндары,B
көбінесе,O
веб,B
-,I
сайттарға,I
қосылуды,O
жеңілдететін,O
шолғыш,O
кеңейтімдері,O
болып,O
табылады,O
"

",O
Solana,B
's,I
Wallet,I
-,I
Adapter,I
кітапханасы,B
әмиян,B
браузерінің,O
кеңейтімдерін,O
қолдауды,O
жеңілдетеді,O
",",O
бұл,O
сізге,O
пайдаланушының,B
әмиян,B
мекенжайын,I
сұрай,O
алатын,O
және,O
оларға,O
қол,B
қою,O
үшін,O
транзакцияларды,B
ұсына,O
алатын,O
веб,B
-,I
сайттарды,I
құруға,O
мүмкіндік,O
береді,O
.,O
"

",O
Сабақ,O
"

",O
Әмияндар,B
"

",O
Алдыңғы,O
екі,O
сабақта,O
біз,O
кілттер,B
жұбын,I
талқыладық.,O
Кілттік,B
жұптар,I
шоттарды,B
табу,O
және,O
транзакцияларға,B
қол,B
қою,O
үшін,O
пайдаланылады,B
.,O
Кілттер,B
жұбының,I
ашық,B
кілтін,I
ортақ,O
пайдалану,B
өте,O
қауіпсіз,B
болғанымен,O
",",O
құпия,B
кілт,I
әрқашан,O
қауіпсіз,B
жерде,O
сақталуы,O
керек,O
.,O
Егер,O
пайдаланушының,B
құпия,I
кілті,B
әшкере,O
болса,O
",",O
онда,O
зиянды,O
әрекетші,B
олардың,O
есептік,B
жазбасын,I
барлық,O
активтерден,B
шығарып,O
",",O
сол,O
пайдаланушының,B
өкілеттігімен,O
транзакцияларды,B
орындауы,O
мүмкін,O
.,O
"

",O
«,O
Әмиян,B
»,O
құпия,B
кілтті,I
қауіпсіз,B
сақтау,O
үшін,O
сақтайтын,O
кез,O
келген,O
нәрсені,O
білдіреді,O
.,O
Бұл,O
қауіпсіз,B
сақтау,O
опциялары,O
әдетте,O
«,O
аппараттық,O
»,O
немесе,O
«,O
бағдарламалық,B
құрал,O
»,O
әмияндары,B
ретінде,O
сипатталуы,O
мүмкін,O
.,O
Аппараттық,B
әмияндар,I
–,O
компьютерден,O
бөлек,O
сақтау,O
құрылғылары,O
.,O
Бағдарламалық,B
құрал,O
әмияндары,B
-бар,O
құрылғыларға,O
орнатуға,O
болатын,O
қолданба,B
.,O
"

",O
Бағдарламалық,B
жасақтама,I
әмияндары,B
көбінесе,O
браузер,O
кеңейтімі,O
түрінде,O
келеді,O
.,O
Бұл,O
веб,B
-,I
сайттарға,I
әмиянмен,B
оңай,O
әрекеттесуге,O
мүмкіндік,O
береді,O
.,O
Мұндай,O
өзара,O
әрекеттесу,O
әдетте,O
мыналармен,O
шектеледі,O
:,O
"

",O
Әмиянның,B
ашық,B
кілтін,I
(,O
мекен,B
-,O
жайын,O
),O
көру,O
"

",O
Пайдаланушының,B
бекітуіне,O
транзакцияларды,B
жіберу,O
"

",O
Мақұлданған,O
транзакцияны,B
желіге,B
жіберу,O
"

",O
Транзакция,B
жіберілгеннен,O
кейін,O
соңғы,O
пайдаланушы,B
транзакцияны,B
«,O
растауы,O
»,O
және,O
оны,O
«,O
қолтаңбасымен,B
»,O
желіге,B
жібере,O
алады,O
.,O
"

",O
Транзакцияларға,B
қол,B
қою,O
құпия,B
кілтті,I
пайдалануды,B
талап,O
етеді,O
.,O
Сайтқа,O
транзакцияны,B
әмияныңызға,B
жіберуге,O
және,O
қол,B
қоюды,O
әмиянға,B
беру,O
арқылы,O
сіз,O
ешқашан,O
құпия,B
кілтіңізді,I
веб,B
-,I
сайтқа,I
көрсетпеуіңізге,O
кепілдік,O
бересіз,O
.,O
Оның,O
орнына,O
сіз,O
құпия,B
кілтті,I
әмиян,B
қолданбасымен,B
ғана,O
бөлісесіз,O
.,O
"

",O
Әмиян,B
қолданбасын,B
өзіңіз,O
жасамасаңыз,O
",",O
кодыңыз,B
ешқашан,O
пайдаланушыдан,B
құпия,B
кілтін,I
сұраудың,O
қажеті,O
жоқ.,O
Оның,O
орнына,O
сіз,O
пайдаланушылардан,B
беделді,B
әмиянды,I
пайдаланып,B
сайтыңызға,O
қосылуды,O
сұрай,O
аласыз,O
.,O
"

",O
Phantom,B
Wallet,O
"

",O
Solana,B
экожүйесінде,I
ең,O
көп,O
қолданылатын,O
бағдарламалық,B
әмияндардың,I
бірі,O
-Phantom,O
.,O
Phantom,B
ең,O
танымал,O
бірнеше,O
браузерлерді,O
қолдайды,O
және,O
жолда,O
қосылуға,O
арналған,O
мобильді,O
қолданбасы,B
бар,O
.,O
Сіз,O
орталықтандырылмаған,B
қолданбаларыңыздың,I
бірнеше,O
әмиянды,B
қолдағанын,O
қалауыңыз,O
мүмкін,O
",",O
бірақ,O
бұл,O
курс,O
Phantom-ға,B
бағытталған,O
.,O
"

",O
Solana,B
-,O
ның,O
әмиян,B
-,O
адаптері,O
"

",O
Solana,B
's,I
Wallet,I
-,I
Adapter,I
-әмиян,O
браузерінің,O
кеңейтімдерін,O
қолдау,O
процесін,O
жеңілдету,O
үшін,O
пайдалануға,B
болатын,O
кітапханалар,B
жиынтығы,O
.,O
"

",O
Solana,B
's,I
Wallet,I
-,I
Adapter,I
бірнеше,O
модульдік,O
пакеттерден,O
тұрады,O
.,O
Негізгі,O
функционалдылық,O
@solana,O
/,O
wallet,O
-,O
adapter,O
-,O
base,O
және,O
@solana,O
/,O
wallet,O
-,O
adapter,O
-,O
react,O
ішінде,O
бар,O
.,O
"

",O
Сондай,O
-,O
ақ,B
жалпы,O
UI,O
шеңберлері,O
үшін,O
құрамдастарды,O
қамтамасыз,O
ететін,O
пакеттер,O
бар,O
.,O
Осы,O
сабақта,O
және,O
осы,O
курста,O
біз,O
@solana,O
/,O
wallet,O
-,O
adapter,O
-,O
react,O
-,O
ui,O
компоненттерін,O
қолданамыз,O
.,O
"

",O
Соңында,O
",",O
Phantom,B
қоса,O
алғанда,O
",",O
белгілі,O
бір,O
әмияндарға,B
арналған,O
адаптерлер,O
болып,O
табылатын,O
пакеттер,O
бар,O
.,O
Қолдау,O
көрсетілетін,O
әмияндардың,B
барлығын,O
қосу,O
үшін,O
@solana,O
/,O
wallet,O
-,O
adapter,O
-,O
wallet,O
қолданбасын,B
пайдалануға,B
болады,O
немесе,O
@solana,O
/,O
wallet,O
-,O
adapter,O
-,O
phantom,B
сияқты,O
арнайы,O
әмиян,B
пакетін,O
таңдауға,O
болады,O
.,O
"

",O
Әмиян,B
-,O
адаптер,O
кітапханаларын,B
орнатыңыз,O
"

",O
Қолданыстағы,O
реакция,O
қолданбасына,B
әмиянды,B
қолдауды,O
қосқанда,O
",",O
сіз,O
сәйкес,O
пакеттерді,O
орнатудан,O
бастайсыз,O
.,O
Сізге,O
керек,O
болады,O
"

",O
Әмиян,B
стандартын,I
қолдайтын,O
барлық,O
әмияндарға,B
қораптан,O
тыс,O
қолдау,O
көрсетіледі,O
және,O
барлық,O
дерлік,O
Solana,B
әмияндары,I
әмиян,B
стандартын,I
қолдайды,O
.,O
Дегенмен,O
",",O
стандартты,O
қолдамайтын,O
кез,O
келген,O
әмияндарға,B
қолдау,I
қосқыңыз,O
келсе,O
",",O
олар,O
үшін,O
пакет,O
қосыңыз,O
.,O
"
",O
