Token,BIO1
"

",O
5,O
-,O
бап,O
(,O
https://www.soldev.app/course/serialize-instruction-data,O
),O
"

",O
Түйіндеме,B
"

",O
Транзакциялар,B
жиынтық,O
нұсқаулардан,B
тұрады,O
",",O
бір,O
транзакцияда,B
нұсқаулардың,B
кез,O
келген,O
саны,O
болуы,O
мүмкін,O
",",O
олардың,O
әрқайсысы,O
өз,O
бағдарламасына,B
бағытталған,O
.,O
Транзакция,B
жіберілген,O
кезде,O
",",O
Solana,B
орындалу,O
уақыты,O
өз,O
нұсқауларын,B
ретімен,O
және,O
атомдық,O
түрде,O
өңдейді,O
",",O
яғни,O
нұсқаулардың,B
кез,O
келгені,O
қандай,O
да,O
бір,O
себептермен,O
орындалмаса,O
",",O
бүкіл,O
транзакция,B
өңделмейді,O
.,O
"

",O
Әрбір,O
нұсқау,B
3,O
құрамдас,O
бөліктен,O
тұрады,O
:,O
жоспарланған,O
бағдарламаның,B
идентификаторы,B
",",O
барлық,O
тартылған,O
тіркелгілердің,O
массиві,O
және,O
нұсқаулық,B
деректерінің,I
байт,B
буфері,I
.,O
"

",O
Әрбір,O
транзакция,B
мыналарды,O
қамтиды,O
:,O
оқуға,O
немесе,O
жазуға,O
ниет,O
білдірген,O
барлық,O
тіркелгілердің,O
массиві,O
",",O
бір,O
немесе,O
бірнеше,O
нұсқаулар,B
",",O
соңғы,O
блоктың,B
хэші,I
және,O
бір,O
немесе,O
бірнеше,O
қолтаңба,B
.,O
"

",O
Клиенттен,O
нұсқау,B
деректерін,O
беру,O
үшін,O
оны,O
байт,B
буферіне,I
сериялау,O
керек,O
.,O
Бұл,O
сериялау,O
процесін,O
жеңілдету,O
үшін,O
біз,O
Borsh,B
қолданамыз,O
.,O
"

",O
Блокчейн,B
транзакцияларды,I
кез,O
келген,O
себептерге,O
байланысты,O
өңдей,O
алмауы,O
мүмкін,O
",",O
біз,O
осы,O
жерде,O
ең,O
көп,O
таралғандардың,O
кейбірін,O
талқылаймыз,O
.,O
"

",O
Сабақ,O
"

",O
Мәмілелер,O
"

",O
Транзакциялар,B
-бұл,O
өңдеу,O
үшін,O
ақпаратты,O
блокчейнге,B
жіберу,O
әдісі,O
.,O
Осы,O
уақытқа,O
дейін,O
біз,O
шектеулі,O
функционалдығы,O
бар,O
өте,O
қарапайым,O
транзакцияларды,B
жасауды,O
үйрендік,O
.,O
Бірақ,O
транзакциялар,B
және,O
олар,O
жіберілетін,O
бағдарламалар,B
біз,O
осы,O
уақытқа,O
дейін,O
қарастырғанымыздан,O
әлдеқайда,O
икемді,O
және,O
күрделірек,O
болуы,O
үшін,O
жобалануы,O
мүмкін,O
.,O
"

",O
Транзакция,B
мазмұны,I
"

",O
Әрбір,O
транзакция,B
мыналарды,O
қамтиды,O
:,O
"

",O
Ол,O
оқуға,O
немесе,O
жазуға,O
ниеттенген,O
әрбір,O
тіркелгіні,O
қамтитын,O
массив,O
"

",O
Бір,O
немесе,O
бірнеше,O
нұсқаулар,B
"

",O
Жақында,O
жасалған,O
блоктың,B
хеші,O
"

",O
Бір,O
немесе,O
бірнеше,O
қолтаңба,B
"

",O
@solana,O
/,O
web3.js,B
бұл,O
процесті,O
сіз,O
үшін,O
жеңілдетеді,O
",",O
сондықтан,O
сізге,O
тек,O
нұсқаулар,B
мен,O
қолтаңбаларды,B
қосуға,O
назар,O
аудару,O
қажет,O
.,O
Кітапхана,B
сол,O
ақпарат,O
негізінде,O
тіркелгілер,O
жиымын,O
жасайды,O
және,O
соңғы,O
блокхашты,B
қосу,O
логикасын,O
өңдейді,O
.,O
"

",O
Нұсқаулар,B
"

",O
Әрбір,O
нұсқаулық,B
мыналарды,O
қамтиды,O
:,O
"

",O
Белгіленген,O
бағдарламаның,B
бағдарлама,B
идентификаторы,I
(,O
ашық,B
кілт,I
),O
.,O
"

",O
Орындау,O
кезінде,O
оқылатын,O
немесе,O
жазылатын,O
әрбір,O
тіркелгі,O
тізімі,B
бар,O
массив,O
"

",O
Нұсқау,B
деректерінің,O
байт,B
буфері,I
"

",O
Бағдарламаны,B
оның,O
ашық,B
кілті,I
арқылы,O
анықтау,O
нұсқаудың,B
дұрыс,O
бағдарлама,B
арқылы,O
орындалуын,O
қамтамасыз,O
етеді,O
.,O
"

",O
Оқылатын,O
немесе,O
жазылатын,O
әрбір,O
тіркелгі,O
массивін,O
қоса,O
алғанда,O
",",O
желіге,B
транзакцияның,B
жоғары,O
жүктемесін,O
және,O
жылдам,O
орындалуын,O
қамтамасыз,O
ететін,O
бірқатар,O
оңтайландыруларды,O
орындауға,O
мүмкіндік,O
береді,O
.,O
"

",O
Байт,B
буфері,I
бағдарламаға,B
сыртқы,O
деректерді,O
жіберуге,O
мүмкіндік,O
береді,O
.,O
"

",O
Бір,O
транзакцияға,B
бірнеше,O
нұсқауларды,B
қосуға,O
болады,O
.,O
Solana,B
орындау,O
уақыты,O
осы,O
нұсқауларды,B
ретімен,O
және,O
атомдық,O
түрде,O
өңдейді,O
.,O
Басқаша,O
айтқанда,O
",",O
егер,O
әрбір,O
нұсқау,B
сәтті,O
болса,O
",",O
транзакция,B
тұтастай,O
сәтті,O
болады,O
",",O
бірақ,O
бір,O
нұсқау,B
сәтсіз,O
болса,O
",",O
онда,O
барлық,O
транзакция,B
жанама,O
әсерлерсіз,O
бірден,O
сәтсіздікке,O
ұшырайды,O
.,O
"

",O
Тіркелгі,O
массиві,O
тіркелгілердің,O
ашық,B
кілттерінің,I
массиві,O
ғана,O
емес,O
.,O
Жиымдағы,O
әрбір,O
нысан,O
транзакцияға,B
қол,B
қоюшы,O
болып,O
табыла,O
ма,B
",",O
жоқ,O
па,B
және,O
оның,O
жазылуы,O
мүмкін,O
бе,B
",",O
жоқ,O
па,B
",",O
тіркелгінің,O
ашық,B
кілтін,I
қамтиды,O
.,O
Нұсқауларды,B
орындау,O
кезінде,O
тіркелгінің,O
жазылуы,O
немесе,O
жазылмайтынын,O
қоса,O
алғанда,O
",",O
орындалу,O
уақытына,O
смарт,B
келісім,I
-,O
шарттарды,O
параллель,O
өңдеуді,O
жеңілдетуге,O
мүмкіндік,O
береді,O
.,O
Қай,O
тіркелгілердің,O
тек,O
