Token,BIO1
3,O
-,O
бап,O
(,O
https://www.soldev.app/course/intro-to-writing-data,O
),O
"

",O
Түйіндеме,B
"

",O
On,B
-,I
chain,I
деректеріне,I
немесе,O
"""",O
тізбек,B
ішіндегі,O
деректерге,O
"""",O
барлық,O
өзгертулер,O
транзакциялар,B
арқылы,O
жүзеге,O
асырылады,O
.,O
Транзакциялар,B
негізінен,O
Solana,B
бағдарламаларын,B
шақыратын,O
нұсқаулар,B
жиынтығы,O
болып,O
табылады,O
.,O
Транзакциялар,B
атомдық,O
болып,O
табылады,O
",",O
яғни,O
олар,O
сәтті,O
болады,O
-егер,O
барлық,O
нұсқаулар,B
дұрыс,O
орындалса,O
-немесе,O
транзакция,B
мүлде,O
орындалмаған,O
сияқты,O
сәтсіз,O
болады,O
.,O
"

",O
Сабақ,O
"

",O
Мәмілелер,O
атомдық,O
болып,O
табылады,O
"

",O
On,B
-,I
chain,I
деректеріне,I
кез,O
келген,O
өзгерту,O
бағдарламаларға,B
жіберілген,O
транзакциялар,B
арқылы,O
жүзеге,O
асады,O
.,O
"

",O
Solana,B
-,O
дағы,O
транзакция,B
басқа,O
жердегі,O
транзакцияға,B
ұқсас,O
:,O
ол,O
атомдық.,O
Атомдық,O
бүкіл,O
транзакция,B
орындалады,O
немесе,O
сәтсіз,O
аяқталады,O
дегенді,O
білдіреді,O
.,O
"

",O
Интернетте,B
бір,O
нәрсе,O
үшін,O
төлеу,O
туралы,O
ойланыңыз,O
:,O
"

",O
Сіздің,O
шотыңыздың,B
қалдығы,O
дебеттеледі,O
"

",O
Банк,O
ақшаны,B
саудагерге,O
аударады,O
"

",O
Транзакция,B
сәтті,O
болуы,O
үшін,O
бұл,O
екі,O
нәрсе,O
де,B
болуы,O
керек,O
.,O
Егер,O
олардың,O
біреуі,O
сәтсіздікке,O
ұшыраса,O
",",O
сатушыға,O
төлем,B
жасамай,O
",",O
шотыңызды,B
дебетке,O
түсірмеу,O
немесе,O
шоттан,B
дебеттеп,O
",",O
бірақ,O
сатушыға,O
төлем,B
жасамау,O
үшін,O
",",O
бұлардың,O
ешқайсысы,O
орын,O
алмағаны,O
жақсы,O
.,O
"

",O
Атомдық,O
транзакцияның,B
орындалатынын,O
білдіреді,O
-бұл,O
барлық,O
жеке,O
қадамдар,O
сәтті,O
аяқталады,O
-немесе,O
бүкіл,O
транзакция,B
сәтсіз,O
аяқталады,O
.,O
"

",O
Мәмілелер,O
нұсқауларды,B
қамтиды,O
"

",O
Solana,B
-,O
дағы,O
транзакциядағы,B
қадамдар,O
нұсқаулар,B
деп,O
аталады,O
.,O
"

",O
Әрбір,O
нұсқаулық,B
мыналарды,O
қамтиды,O
:,O
"

",O
оқылатын,O
және,O
/,O
немесе,O
жазылатын,O
шоттардың,B
жиыны,O
.,O
Бұл,O
Solana,B
-,O
ны,O
жылдам,O
етеді,O
-әртүрлі,O
шоттарға,B
әсер,O
ететін,O
транзакциялар,B
бір,O
уақытта,O
өңделеді,O
"

",O
шақыру,O
үшін,O
бағдарламаның,B
ашық,B
кілті,I
"

",O
байт,O
массиві,O
ретінде,O
құрылымдалған,O
",",O
шақырылатын,O
бағдарламаға,B
берілетін,O
деректер,O
"

",O
Транзакция,B
іске,O
қосылғанда,O
",",O
бір,O
немесе,O
бірнеше,O
Solana,B
бағдарламасы,B
транзакцияға,B
енгізілген,O
нұсқаулармен,B
бірге,O
шақырылады,O
.,O
"

",O
