Token,BIO1
Artcle,O
1,O
(,O
https://blockchain.news/news/bitcoin-displays-potential-stability-amidst-global-economic-uncertainty,O
),O
"


",O
Биткоин,B
Жаһандық,O
Экономикалық,B
Белгісіздік,O
Жағдайында,O
Әлеуетті,O
Тұрақтылықты,O
Көрсетеді,O
"


 ",O
Биткоин,B
жалғасып,O
жатқан,O
макроэкономикалық,O
қиындықтарға,O
қарамастан,O
",",O
биржадан,O
шығыстары,O
мен,O
БИ-ға,O
кірістердің,O
артуы,O
нәтижесінде,O
тұрақтылық,O
белгілерін,O
көрсетіп,O
отыр,O
.,O
"


",O
Ребека,B
Моэн,I
"


",O
May,O
20,O
",",O
2024,O
13:37,O
"


",O
Жаһандық,O
Экономикалық,B
Қиындықтар,O
Жағдайындағы,O
Биткоин,B
Тұрақтылығы,O
"


",O
Bitfinex,B
Alpha,I
-,I
дағы,I
жақында,O
жарияланған,O
жазбасына,B
сәйкес,O
",",O
Биткоин,B
(,O
BTC,B
),O
жаһандық,O
экономикалық,B
белгісіздік,O
жағдайында,O
әлеуетті,O
тұрақтылық,O
белгілерін,O
көрсетті,O
.,O
Тұтыну,B
Бағаларының,I
Индексі,I
(,O
ТБИ,B
),O
бойынша,O
инфляция,B
туралы,O
есеп,B
жарияланғаннан,O
кейін,O
",",O
криптовалюта,B
өткен,O
аптада,O
12,O
сәуірден,O
бергі,O
ең,O
жоғары,O
күндік,O
жабылу,O
деңгейіне,B
жетті,O
",",O
есеп,B
күтілгеннен,O
төмен,O
болып,O
шықты,O
.,O
BTC,B
бір,O
күнде,O
"7,54",O
%,O
",",O
ал,B
аптада,O
"8,7",O
%,O
өсті,O
.,O
Бұл,O
өсім,O
биржалардан,O
"55,000",O
BTC,B
көлеміндегі,O
қаражаттың,O
шығысымен,O
қосымша,O
қолдау,O
тапты,O
",",O
бұл,O
нарықтағы,O
оң,O
көңіл,O
-,O
күйді,O
көрсетіп,O
",",O
Биткоин,B
бағасының,O
ең,O
төменгі,O
деңгейіне,B
жеткенін,O
растайды,O
.,O
"


",O
Биткойн,B
-,O
ETF,B
таза,O
қаражаттың,O
кірісін,O
көрсетуде,O
"


",O
Биткоин,B
Биржа,B
Қорлары,I
(,O
БҚ,B
),O
соңғы,O
аптада,O
$,O
948.3,O
миллион,O
таза,O
қаражат,O
кірісін,O
тіркеді,O
",",O
бұл,O
соңғы,O
апталардағы,O
қаражаттың,O
шығынын,O
өтеді,O
.,O
"
",O
Бұл,O
тенденция,O
Биткоинның,B
тұрақтылығына,O
деген,O
сенімнің,O
артқанын,O
білдіреді,O
",",O
әсіресе,O
ұзақ,O
мерзімді,O
ұстаушылар,O
өз,O
позицияларын,O
сақтап,O
",",O
«,O
жаңа,O
киттер,O
»,O
BTC,B
-,O
ды,O
шамамен,O
$,O
60,O
000,O
деңгейінде,B
жинақтап,O
жатқаны,O
",",O
бұл,O
оны,O
тізбектегі,B
қолдаудың,O
маңызды,O
деңгейіне,B
айналдырады,O
.,O
 ,O
Тіпті,O
жеткізілімдегі,O
үлесі,B
жыл,O
басындағы,O
19%-дан,O
"26,1%-ға",O
дейін,O
өскен,O
қысқа,B
мерзімді,I
ұстаушылардың,I
(,O
ҚМҰ,B
),O
қазіргі,O
уақытта,O
орташа,O
құны,O
шамамен,O
$,O
61,O
046,O
құрайды,O
",",O
осы,O
деңгейді,B
сақтау,O
сатылым,B
триггерлерінің,O
алдын,O
алу,O
үшін,O
маңызды,O
.,O
"


",O
Жаһандық,O
Экономикалық,B
Қиындықтар,O
"


",O
Осы,O
криптонарықтағы,B
оң,O
үрдістерге,O
қарамастан,O
",",O
жаһандық,O
экономика,B
әлі,O
де,B
қиындықтар,O
кешуде,O
.,O
Сәуір,O
айындағы,O
ТБИ,B
есебі,O
инфляцияның,B
