Token,BIO1
Мақала,O
4,O
.,O
Blockchain.com,O
сауалнамасы,O
криптовалюта,B
инвесторларының,O
2023,O
жылға,O
сақтықпен,O
жақсы,O
көзқараста,O
екенін,O
анықтады,O
.,O
"

",O
https://medium.com/blockchain/blockchain-com-survey-reveals-crypto-investors-are-cautiously-optimistic-heading-into-2023-3eaa9530c893,O
"

",O
2022,O
жылы,O
криптовалюта,B
жақсы,O
немесе,O
жаман,O
болсын,O
",",O
жалпы,O
жұртшылық,O
арасында,O
хабардарлықтың,O
жаңа,O
деңгейіне,B
жетті,O
.,O
Биткоин,B
69,O
000,O
доллардан,O
асқан,O
2021,O
жылғы,O
бұқа,O
жүгірісінің,O
шыңына,O
жеткенде,O
",",O
біз,O
жылды,O
аз,B
ойыншылармен,O
және,O
барлығымыз,O
үшін,O
көптеген,O
сабақтармен,O
аяқтаймыз,O
.,O
Көтерілулер,O
мен,O
құлдырауларға,O
қарамастан,O
",",O
Blockchain.com,O
ұзақ,O
мерзімді,O
көзқарас,O
әлі,O
де,B
пайдаланушыларға,B
бағытталған,O
",",O
сондықтан,O
біз,O
олардың,O
көңіл,O
-,O
күйін,O
сұрауды,O
шештік,O
.,O
"

",O
Blockchain.com,O
"""",O
Криптографиялық,B
Сенімділік,O
:,O
Инвесторлардың,B
Көңіл,I
-,I
күйі,I
Туралы,O
Сауалнама,O
"""",O
атты,O
алғашқы,O
сауалнамада,O
тұтынушылардың,O
крипто,B
инвесторлары,O
өз,O
ойлары,O
мен,O
пікірлері,O
туралы,O
түсінік,O
алу,O
үшін,O
сауалнама,O
жүргізді,O
.,O
"""",O
Сауалнама,O
демалыс,O
маусымы,O
мен,O
жаңа,O
жыл,O
қарсаңында,O
криптовалюталарды,B
пайдалану,B
мен,O
көңіл,O
-,O
күйге,O
бағытталған,O
.,O
"

",O
Әлемнің,O
түкпір,O
-,O
түкпірінен,O
келген,O
40,O
000,O
-,O
нан,O
астам,O
сауалнамаға,O
жауап,O
берушілер,O
сақ,B
оптимизмнің,O
суретін,O
шығарды,O
.,O
Криптографиялық,B
қысқа,O
қарамастан,O
",",O
респонденттердің,O
40%-ы,O
осы,O
жылы,O
крипто,B
сатып,O
алды,O
",",O
сонымен,O
қатар,O
оны,O
2023,O
жылы,O
жасауды,O
жоспарлап,O
отыр,O
",",O
бұл,O
көптеген,O
инвесторлардың,O
есепшіл,B
",",O
бірақ,O
оптимистік,O
болып,O
қала,O
беретінін,O
көрсетеді,O
.,O
Сонымен,O
қатар,O
",",O
респонденттердің,O
шамамен,O
40,O
%,O
-ы,O
осы,O
маусымда,O
мерекелік,O
үстелде,O
криптовалютаны,B
талқылайтынын,O
айтады,O
",",O
бұл,O
криптовалютаның,B
негізгі,O
ағымға,O
әсер,O
еткенінің,O
айқын,O
белгісі,O
.,O
"

",O
Жалпы,O
нәтижелерге,O
мыналар,O
жатады,O
:,O
"

",O
41,O
%,O
осы,O
жылы,O
крипто,B
сатып,O
алды,O
",",O
"

",O
40,O
%,O
-ға,O
жуығы,O
келесі,O
жылы,O
крипто,B
сатып,O
алуды,O
жоспарлап,O
отыр,O
.,O
"

",O
Кейбір,O
географиялық,O
және,O
маусымдық,O
деректерді,O
қарастыра,O
отырып,O
",",O
сауалнама,O
кейбір,O
елдердің,O
басқаларға,O
қарағанда,O
көбірек,O
оптимистік,O
көзқараста,O
екенін,O
көрсетті,O
.,O
"

",O
АҚШ,B
-,O
тың,O
сауалнамаға,O
жауап,O
берушілерінің,O
44%-ы,O
биыл,O
крипто,B
сатып,O
алды,O
",",O
ал,B
40%-ы,O
келесі,O
жылы,O
сатып,O
алуды,O
жоспарлап,O
отыр,O
.,O
"

",O
Гана,B
сауалнамаға,O
жауап,O
берушілері,O
криптовалютаны,B
жақтайды,O
",",O
олардың,O
44%-ы,O
биыл,O
криптовалютаны,B
сатып,O
алады,O
",",O
60%-ы,O
келесі,O
жылға,O
жоспарлайды,O
",",O
ал,B
53%-ы,O
мерекелік,O
үстелде,O
криптовалютаны,B
талқылауды,O
жоспарлап,O
отыр,O
.,O
"

",O
Сауалнамаға,O
жауап,O
берушілердің,O
ең,O
үлкен,O
тобын,O
білдіретін,O
Нигериялықтардың,B
50%-ы,O
биыл,O
крипто,B
сатып,O
алды,O
",",O
46%%-ы,O
келесі,O
жылға,O
жоспарлап,O
отыр,O
",",O
ал,B
46%-ы,O
мерекелік,O
үстелде,O
криптоны,B
талқылауды,O
жоспарлап,O
отыр,O
"

",O
Бразилиялықтар,O
криптовалюта,B
сатып,O
алу,O
мәселесінде,O
50/50,O
-,O
ге,B
жуық,O
екіге,O
бөлінді,O
"

",O
Немістердің,O
тек,O
34%-ы,O
биыл,O
крипто,B
сатып,O
алды,O
",",O
ал,B
30%-ы,O
келесі,O
жылға,O
жоспарлап,O
отыр,O
.,O
"

",O
Итальяндықтардың,O
басым,O
көпшілігі,O
криптоға,B
күмәнмен,O
қарады,O
",",O
олардың,O
тек,O
31%-ы,O
биыл,O
крипто,B
сатып,O
алды,O
",",O
29%-ы,O
келесі,O
жылы,O
сатып,O
алуды,O
жоспарлады,O
",",O
ал,B
31%-ы,O
мерекелік,O
үстелде,O
криптоны,B
талқылауды,O
жоспарлады,O
.,O
"

",O
Ең,O
көп,O
жауап,O
берген,O
елдер,O
Нигерия,B
",",O
Америка,B
Құрама,I
Штаттары,I
",",O
Ұлыбритания,B
",",O
Гана,B
және,O
Германия,B
болды,O
.,O
"

",O
Әдістеме,O
"

",O
Әлемнің,O
түкпір,O
-,O
түкпірінен,O
келген,O
40,O
000,O
-,O
нан,O
астам,O
адам,O
Blockchain.com,O
Веб,O
—,O
трафик,O
бойынша,O
ең,O
жақсы,O
3,O
криптографиялық,B
сайттың,O
бірі,O
Болып,O
табылатын,O
Explorer,B
сайты,I
2022,O
жылдың,O
28,O
қарашасы,O
мен,O
9,O
желтоқсаны,B
аралығында,O
сауалнама,O
сұрақтарына,O
жауап,O
берді,O
.,O
"
",O
