Token,BIO1
Article,O
4,O
(,O
https://blockchain.news/news/bitcoins-capabilities-to-be-extended-with-new-docking-layer-exsat,O
),O
"


",O
EOS,B
:,O
Биткоиннің,B
Мүмкіндіктері,O
Жаңа,O
',O
Docking,O
Layer,O
',O
exSat,B
Арқылы,O
Кеңейтіледі,O
"


",O
EOS,B
Network,I
Foundation,I
Биткоиннің,B
мүмкіндіктерін,O
кеңейтетін,O
жаңа,O
қуатты,O
',O
Docking,O
Layer,O
',O
exSat,B
ақпараттық,O
құжатын,O
жариялады,O
.,O
"


",O
Терилл,B
Дикки,I
"


",O
May,O
16,O
",",O
2024,O
06:54,O
"


",O
EOS,B
Network,I
Foundation,I
exSat,B
Ақпараттық,O
Құжатын,O
Ұсынды,O
"


",O
EOS,B
Network,I
Foundation,I
атқарушы,O
директоры,O
және,O
негізін,O
қалаушы,O
Ив,B
Ла,I
Роуз,I
басшылығымен,O
Биткоиннің,B
мүмкіндіктерін,O
кеңейтуге,O
арналған,O
жаңа,O
қуатты,O
',O
Docking,O
Layer,O
',O
exSat,B
ақпараттық,O
құжатын,O
жариялады,O
.,O
EOS,B
экожүйесінде,B
консенсус,B
орнатушы,O
ретінде,O
танымал,O
Ла,B
Роуз,I
",",O
өзінің,O
мансабын,O
желінің,B
табысына,B
арнады,O
.,O
"


",O
Ла,B
Роуздың,I
технологияға,O
деген,O
қызығушылығы,O
жас,O
кезінде,O
өзінің,O
алғашқы,O
компьютерін,O
жасап,O
",",O
алғашқы,O
бағдарламасын,B
жеті,O
жасында,O
жазған,O
кезде,O
пайда,B
болды,O
.,O
Оның,O
технологияға,O
деген,O
құштарлығы,O
2010,O
жылы,O
орталықтандырылмаған,O
желілердің,B
әлеуетін,O
зерттей,O
отырып,O
",",O
өндіруді,O
бастаған,O
Биткоиннің,B
пайда,B
болуымен,O
одан,O
әрі,O
күшейе,O
түсті,O
.,O
"




",O
EOS,B
Nation,I
-,O
нан,O
EOS,B
Network,I
Foundation-ға,I
дейін,O
"


",O
Бірнеше,O
жылдық,O
бизнесті,O
жоспарлау,O
және,O
талдау,O
тәжірибесінен,O
кейін,O
Ла,B
Роуз,I
2017,O
жылы,O
жаңа,O
пайда,B
болған,O
блокчейн,B
индустриясына,O
бет,O
бұруды,O
шындап,O
қарастыра,O
бастады,O
.,O
2018,O
жылдың,O
ақпанында,O
ол,O
EOS,B
Nation,I
компаниясының,O
негізін,O
қалаушылардың,O
бірі,O
болды,O
",",O
бұл,O
ақырында,O
EOSIO,B
-,O
ны,O
қолданатын,O
ең,O
құнды,O
желідегі,B
ең,O
жоғары,O
рейтингті,O
блок,B
өндірушіге,I
айналды,O
.,O
Алайда,O
",",O
2021,O
жылдың,O
мамыр,O
айында,O
Ла,B
Роуз,I
жаңа,O
жолды,O
жалғастыру,O
үшін,O
EOS,B
Nation,I
-,O
ның,O
бас,O
атқарушы,O
директоры,O
қызметінен,O
кетті,O
.,O
"


",O
EOS,B
Network,I
мүдделі,O
тараптарын,O
барлық,O
EOS,B
токен,B
иелерінің,O
мүддесі,O
үшін,O
жұмыс,O
істейтін,O
қордың,O
айналасына,O
біріктірудегі,O
өзінің,O
ерекше,O
ұстанымын,O
мойындай,O
отырып,O
",",O
Ла,B
Роуз,I
EOS,B
Network,I
Foundation,I
негізін,O
қалады,O
.,O
Содан,O
бері,O
ол,O
EOS,B
қоғамдық,B
блокчейні,I
мен,O
оның,O
жаһандық,O
мүдделі,O
тараптарына,O
пайда,B
келтіруге,O
өзін,O
арнады,O
.,O
"


",O
exSat,B
-,O
пен,O
Танысу,O
:,O
Биткоиннің,B
Мүмкіндіктерін,O
Кеңейту,O
"


",O
exSat,B
-,O
тың,O
енгізілуі,O
Биткоин,B
мүмкіндіктерін,O
арттырудағы,O
маңызды,O
қадам,O
болып,O
табылады,O
.,O
',O
Docking,O
Layer,O
',O
қолданушылар,O
үшін,O
жаңа,O
мүмкіндіктер,O
ашып,O
",",O
алып,O
келіп,O
",",O
орталықтандырылмаған,O
желілердің,B
әлеуетін,O
одан,O
әрі,O
нығайтады,O
деп,O
күтілуде,O
.,O
exSat,B
-,O
тың,O
мүмкін,O
қосымшалары,O
мен,O
артықшылықтары,O
туралы,O
мәліметтер,O
ақпараттық,O
қағазда,O
толығырақ,O
баяндалатын,O
болады,O
.,O
"


",O
exSat,B
іске,O
қосылуымен,O
EOS,B
Network,I
Foundation,I
блокчейн,B
индустриясының,O
өсуі,O
мен,O
табысына,B
деген,O
адалдығын,O
жалғастыруда,O
.,O
 ,O
Қор,B
бүкіл,O
әлемдегі,B
EOS,I
қауымдастығын,I
өзара,O
құрмет,O
пен,O
қолдау,O
арқылы,O
біріктіруге,O
ұмтылуда,O
",",O
бұл,O
Ла,O
Роздың,O
Жапонияда,B
тұрып,O
",",O
оқып,O
",",O
Азия,B
бойынша,O
саяхаттаған,O
кездегі,O
тәжірибесінен,O
туындаған,O
кешенді,O
көзқарасына,O
үндеседі,O
.,O
"



",O
