Token,BIO1
Article,O
3,O
(,O
https://blockchain.news/news/crypto-drainers-threat-bitcoin-cryptocurrencies,O
),O
"


",O
Крипто,B
Ұрлаушылар,I
:,O
Биткоин,B
(,O
BTC,B
),O
және,O
басқа,O
криптовалюталарға,B
төнетін,O
өсіп,O
келе,O
жатқан,O
қауіп,B
"


",O
Крипто,B
ұрлаушылардың,I
Биткоин,B
және,O
басқа,O
криптовалюталарға,B
төнетін,O
өсіп,O
келе,O
жатқан,O
қаупін,O
және,O
құрбан,O
болмаудың,O
жолдарын,O
терең,O
зерттеу,O
.,O
"


",O
Зак,B
Андерсон,I
"


",O
May,O
17,O
",",O
2024,O
02:40,O
"


",O
Крипто,B
Ұрлаушылар,I
Туралы,O
Жалпы,O
Шолу,O
"


",O
Криптовалюта,B
нарығы,O
дамуымен,O
",",O
пайдаланушылардың,B
қаражаттарын,O
ұрлау,B
үшін,O
зиянды,O
әрекеттер,O
жасайтын,O
тұлғалардың,B
тактикалары,O
да,O
өзгеріп,O
отырады,O
.,O
Соңғы,O
қауіп,B
-крипто,O
ұрлаушылар,B
(,O
crypto,B
drainers,O
),O
",",O
кейінгі,O
жылдары,O
кеңінен,O
таралып,O
келеді,O
.,O
Крипто,B
ұрлаушылар,I
",",O
"
",O
Жеке,B
кілттерді,I
ұрлау,B
және,O
ақылды,B
келісімшарттарды,I
пайдалану,B
сияқты,O
дәстүрлі,O
әдістерге,O
қарағанда,O
",",O
крипто,B
ұрлаушылар,I
Web3,B
жобалары,I
ретінде,O
көрініп,O
",",O
құрбандарын,O
алдап,O
",",O
олардың,O
крипто,B
әмияндарын,B
бақылауға,O
қол,B
жеткізеді,O
.,O
Бұл,O
алаяқтардан,O
көптеген,O
пайдаланушылар,B
зардап,O
шекті,O
",",O
тіпті,O
Марк,B
Кубан,I
мен,O
Сет,B
Грин,I
сияқты,O
танымал,O
тұлғалар,B
да,O
құрбан,O
болды,O
.,O
"
",O
Ұрланған,O
қаражат,O
мөлшері,O
таңғаларлық,O
деңгейге,B
жетуі,O
мүмкін,O
",",O
кейбір,O
ұрлаушылар,B
құрбандарынан,O
бірнеше,O
миллион,O
долларды,O
ұрлағаны,O
туралы,O
хабарланған,O
.,O
Жақында,O
Chainalysis,B
крипто,B
ұрлаушылар,I
туралы,O
егжей,O
-,O
тегжейлі,O
мәліметтермен,O
бөлісті,O
.,O
"


",O
Крипто,B
Ұрлаушылардың,I
Қалай,O
Жұмыс,O
Істейтінін,O
Түсіну,O
"


",O
Крипто,B
ұрлаушы,I
негізінен,O
Web3,B
экожүйесіне,I
арналған,O
фишинг,B
құралы,I
.,O
Пайдаланушы,B
аттары,O
мен,O
құпиясөздерді,O
ұрлаудың,O
орнына,O
",",O
бұл,O
алаяқтықтың,B
ұйымдастырушылары,O
заңды,O
Web3,B
жобалары,I
ретінде,O
жасырынады,O
.,O
Олар,O
құрбандарды,O
крипто,B
әмияндарын,B
ұрлаушыға,B
қосып,O
",",O
транзакциялық,B
ұсыныстарды,O
мақұлдауға,O
көндіреді,O
",",O
бұл,O
алаяқтарға,O
құрбандардың,O
әмияндарындағы,B
қаражатты,O
басқаруға,O
мүмкіндік,O
береді,O
.,O
Сәтті,O
шабуылдан,O
кейін,O
ұрлаушылар,B
пайдаланушылардың,B
қаражатын,O
бірден,O
ұрлап,O
алады,O
.,O
Жалған,B
Web3,I
сайттары,I
көбінесе,O
Discord,B
қауымдастықтарында,I
және,O
бұзылған,O
әлеуметтік,O
медиа,O
аккаунттарда,O
жарнамаланады,O
.,O
"


",O
Крипто,B
Ұрлаушылардың,I
Крипто,B
Экожүйесіне,B
Әсері,O
"


",O
Крипто,B
ұрлаушылардың,I
жалпы,O
ұрлаған,O
қаражат,O
мөлшерін,O
нақты,O
анықтау,O
қиын,O
болғанымен,O
",",O
қолда,B
бар,O
мәліметтер,O
бұл,O
алаяқтықтардың,B
ауқымы,O
елеулі,O
екенін,O
көрсетеді,O
.,O
Шын,O
мәнінде,O
",",O
ұрлаушылар,B
ұрлаған,O
қаражаттың,O
тоқсандық,O
өсу,O
қарқыны,O
киберқылмыстың,O
тағы,O
бір,O
тез,O
өсіп,O
келе,O
жатқан,O
санаты,O
-бопсалаушы,O
бағдарламалардан,B
асып,O
түсті,O
.,O
Сандық,B
активтерді,I
ұрлағаннан,O
кейін,O
қылмыскерлер,O
әдетте,O
қаражатты,O
жуу,O
немесе,O
оларды,O
қолма-қол,O
ақшаға,B
айналдыру,O
үшін,O
әртүрлі,O
крипто,B
қызметтеріне,O
жүгінеді,O
.,O
2021,O
жылдан,O
бастап,O
ұрлаушылар,B
жіберген,O
қаражаттың,O
әртүрлі,O
қызметтеріне,O
жіберілуінің,O
айтарлықтай,O
өсуі,O
байқалды,O
",",O
ал,B
орталықтандырылған,B
биржаларға,I
жіберілген,O
қаражат,O
азайды,O
.,O
Кейбір,O
ұрлаушылар,B
кішігірім,O
масштабта,O
болса,O
да,O
",",O
құмар,B
ойын,I
қызметтерін,I
де,B
пайдаланып,B
жатыр,O
.,O
"


",O
Биткоинның,B
Крипто,B
Ұрлаушылармен,I
Кездесуі,O
"


",O
Көптеген,O
ұрлаушылар,B
қазіргі,O
уақытта,O
Ethereum,B
экожүйесінде,I
жұмыс,O
істегенімен,O
",",O
Биткоин,B
блокчейнін,I
пайдаланатын,B
ерекше,O
ұрлаушы,B
анықталды,O
.,O
Бұл,O
ұрлаушы,B
Биткоин,B
Ordinals,I
үшін,O
негізгі,B
NFT,I
платформасы,I
болып,O
табылатын,O
Magic,B
Eden,I
ретінде,O
көрінетін,O
жалған,O
веб,O
-,O
бет,O
жасады,O
.,O
2024,O
жылдың,O
сәуір,O
айындағы,O
мәліметтер,O
бойынша,O
",",O
бұл,O
ұрлаушы,B
шамамен,O
$,O
500.000,O
ұрлап,O
",",O
1.000,O
-,O
нан,O
астам,O
зиянды,B
транзакция,I
жасаған,O
.,O
Биткоин,B
басқа,O
активтер,B
сияқты,O
Web3,B
қызметтері,I
үшін,O
кеңінен,O
қолданылмаса,O
да,O
",",O
басқа,O
да,O
бірнеше,O
Биткоин,B
ұрлаушылары,B
Ordinals,B
сауда,I
қауымдастығын,I
нысанаға,O
алып,O
отыр,O
.,O
"


",O
Крипто,B
Ұрлаушы,I
Шабуылдарының,O
Алдын,O
Алу,O
"


",O
Крипто,B
ұрлаушылардың,I
операторлары,O
барған,O
сайын,O
күрделене,O
түскендіктен,O
",",O
Web3,B
 ,O
жобалары,O
мен,O
пайдаланушылары,B
осы,O
алаяқтықтарға,B
қарсы,O
тұру,O
үшін,O
әртүрлі,O
қауіпсіздік,B
шараларын,O
енгізуі,O
өте,O
маңызды,O
.,O
Wallet,B
Guard,I
сияқты,O
Web3,B
қауіпсіздік,I
кеңейтімдері,I
фишинг,O
беттері,O
мен,O
веб,B
-,I
сайттарды,I
анықтап,O
",",O
криптовалюта,B
әмияндарына,I
қатысты,O
қауіптердің,O
тәуекелін,O
бағалай,O
алады,O
.,O
Сондай,O
-,O
ақ,B
",",O
пайдаланушылар,B
құнды,O
немесе,O
үлкен,O
көлемдегі,O
активтерді,B
оффлайн,B
әмиянда,I
сақтап,O
",",O
қажет,O
болған,O
жағдайда,O
ғана,O
қаражатты,O
ыстық,O
әмиянға,B
аудару,O
арқылы,O
ұрлаушылармен,B
соқтығысу,O
қаупін,O
азайта,O
алады,O
.,O
 ,O
Сонымен,O
қатар,O
",",O
чаттарда,O
немесе,O
әлеуметтік,O
желілерде,B
жарнамаланған,O
сілтемелерден,O
сақ,B
болуы,O
керек,O
",",O
олар,O
жобаның,O
ресми,O
аккаунтымен,O
байланысты,O
болмауы,O
мүмкін,O
.,O
Егер,O
пайдаланушы,B
бейтаныс,O
Web3,B
сайтына,O
қосылуы,O
қажет,O
болса,O
",",O
активтері,B
жоқ,O
уақытша,B
әмиян,I
жасап,O
",",O
оны,O
сайтқа,O
қосуға,O
болады,O
.,O
Егер,O
құрбанның,O
активтері,B
ұрлаушы,B
арқылы,O
ұрланса,O
",",O
олар,O
аяқталмаған,B
транзакцияларды,I
жоя,O
алады,O
.,O
"






",O
