Token,BIO1
2,B
-,O
бап,O
(,O
https://www.soldev.app/course/intro-to-reading-data,O
),O
"

",O
Түйіндеме,B
"

",O
SOL,B
—,O
Solana,B
-,O
ның,O
төл,B
токенінің,B
атауы,O
.,O
Әрбір,O
SOL,B
1,O
миллиард,O
Lamport,B
-,O
тан,O
жасалған,O
.,O
"

",O
Тіркелгілер,O
токендерді,B
",",O
NFT,B
-,O
лерді,O
",",O
бағдарламалар,B
мен,O
деректерді,O
сақтайды,O
.,O
Әзірге,O
біз,O
SOL,B
сақтайтын,O
тіркелгілерге,O
назар,O
аударамыз,O
.,O
"

",O
Мекенжайлар,B
Solana,B
желісіндегі,I
тіркелгілерге,O
нұсқайды,O
.,O
Кез,O
келген,O
адам,O
берілген,O
мекенжайдағы,B
деректерді,O
оқи,O
алады,O
.,O
Көптеген,O
мекенжайлар,B
да,O
ашық,B
кілттер,I
болып,O
табылады,O
.,O
"

",O
Сабақ,O
"

",O
Есептік,B
жазбалар,I
"

",O
Solana,B
-,O
да,O
сақталған,O
барлық,O
деректер,O
тіркелгілерде,O
сақталады,O
.,O
Тіркелгілер,O
сақтай,O
алады,O
:,O
"

",O
SOL,B
"

",O
USDC,B
сияқты,O
басқа,O
белгілер,O
"

",O
NFTs,B
"

",O
Бұл,O
курста,O
біз,O
жасайтын,O
фильмдерді,O
шолу,O
бағдарламасы,B
сияқты,O
бағдарламалар,B
!,O
"

",O
Жоғарыдағы,O
бағдарламаға,B
арналған,O
фильмге,O
шолу,O
сияқты,O
бағдарлама,B
деректері,I
!,O
"

",O
SOL,B
"

",O
SOL,B
-Solana,O
-,O
ның,O
төл,B
токені,B
-SOL,O
транзакциялық,B
комиссияларды,I
төлеу,O
",",O
шоттар,B
үшін,O
жалдау,O
ақысын,O
төлеу,O
және,O
т.б,O
.,O
үшін,O
пайдаланылады,B
.,O
SOL,B
кейде,O
◎,O
белгісімен,O
көрсетіледі,O
.,O
Әрбір,O
SOL,B
1,O
миллиард,O
Lamport,B
-,O
тан,O
жасалған,O
.,O
"

",O
Қаржылық,O
қолданбалар,B
әдетте,O
математиканы,O
центпен,O
(,O
АҚШ,B
доллары,O
үшін,O
),O
",",O
пенспен,O
(,O
GBP,O
үшін,O
),O
жасайтын,O
сияқты,O
",",O
Solana,B
қолданбалары,B
әдетте,O
SOL,B
-,O
ды,O
Lamports,B
ретінде,O
тасымалдайды,O
",",O
жұмсайды,O
",",O
сақтайды,O
және,O
өңдейді,O
",",O
тек,O
пайдаланушыларға,B
көрсету,O
үшін,O
толық,O
SOL,B
түріне,O
түрлендіреді,O
.,O
"

",O
Мекенжайлар,B
"

",O
Мекенжайлар,B
тіркелгілерді,O
бірегей,O
түрде,O
анықтайды,O
.,O
Мекенжайлар,B
жиі,O
dDCQNnDmNbFVi8cQhKAgXhyhXeJ625tvwsunRyRc7c8,O
сияқты,O
базалық-58,O
кодталған,B
жолдар,O
ретінде,O
көрсетіледі,O
.,O
Solana,B
-,O
дағы,O
мекенжайлардың,B
көпшілігі,O
де,B
ашық,B
кілттер,I
болып,O
табылады,O
.,O
Алдыңғы,O
тарауда,O
айтылғандай,O
",",O
мекенжайдың,B
сәйкес,O
құпия,B
кілтін,I
басқаратын,O
адам,O
есептік,B
жазбаны,I
басқарады,O
-мысалы,O
",",O
құпия,B
кілті,I
бар,O
адам,O
тіркелгіден,O
белгілерді,O
жібере,O
алады,O
.,O
"
",O
