Token,BIO1
Article,O
3,O
(,O
https://blockchain.news/news/crypto-drainers-threat-bitcoin-cryptocurrencies,O
),O
"

",O
Crypto,B
Drainers,I
:,O
The,O
Rising,O
Threat,O
to,O
Bitcoin,B
(,O
BTC,B
),O
and,O
Other,O
Cryptocurrencies,B
"

",O
A,O
deep,O
dive,O
into,O
the,O
increasing,O
threat,O
of,O
crypto,B
drainers,I
to,O
Bitcoin,B
and,O
other,O
cryptocurrencies,B
",",O
highlighting,O
ways,O
to,O
avoid,O
falling,O
victim,O
.,O
"

",O
Zach,B
Anderson,I
"

",O
May,O
17,O
",",O
2024,O
02:40,O
"

",O
Overview,O
of,O
Crypto,B
Drainers,I
"

",O
As,O
the,O
cryptocurrency,B
market,I
continues,O
to,O
evolve,O
",",O
so,O
do,O
the,O
tactics,O
employed,O
by,O
malicious,B
actors,I
to,O
steal,O
user,O
funds,O
.,O
The,O
latest,O
threat,O
",",O
crypto,B
drainers,I
",",O
has,O
been,O
gaining,O
prevalence,O
in,O
recent,O
years,O
.,O
In,O
contrast,O
to,O
more,O
conventional,O
methods,O
such,O
as,O
private,B
key,I
theft,I
and,O
smart,B
contract,I
exploitation,I
",",O
drainers,B
pose,O
as,O
web3,B
projects,I
to,O
trick,O
victims,O
into,O
granting,O
them,O
control,O
of,O
their,O
crypto,B
wallets,I
.,O
These,O
scams,B
have,O
affected,O
a,O
wide,O
range,O
of,O
users,O
",",O
with,O
even,O
high,O
-,O
profile,O
figures,O
like,O
Mark,B
Cuban,I
and,O
Seth,B
Green,I
falling,O
prey,O
.,O
The,O
amounts,O
stolen,O
can,O
be,O
staggering,O
",",O
with,O
some,O
drainers,B
reportedly,O
siphoning,O
off,O
several,O
million,O
dollars,O
from,O
their,O
victims,O
.,O
Recently,O
",",O
Chainalysis,B
shared,O
insights,O
into,O
details,O
of,O
Crypto,B
Drainers,I
.,O
"

",O
Understanding,O
How,O
Crypto,B
Drainers,I
Operate,O
"

",O
A,O
crypto,B
drainer,I
is,O
essentially,O
a,O
phishing,B
tool,I
designed,O
for,O
the,O
web3,B
ecosystem,I
.,O
Instead,O
of,O
stealing,O
usernames,B
and,O
passwords,B
",",O
the,O
operators,O
of,O
these,O
scams,B
masquerade,O
as,O
legitimate,O
web3,B
projects,I
.,O
They,O
lure,O
victims,O
into,O
connecting,O
their,O
crypto,B
wallets,I
to,O
the,O
drainer,B
and,O
approving,O
transaction,B
proposals,I
",",O
which,O
effectively,O
grant,O
the,O
scammers,B
control,O
of,O
the,O
funds,O
in,O
the,O
victims,O
',O
wallets,B
.,O
Following,O
a,O
successful,O
attack,O
",",O
the,O
drainers,B
can,O
instantly,O
steal,O
users,O
',O
funds,O
.,O
The,O
fraudulent,B
web3,I
sites,I
are,O
often,O
promoted,O
in,O
Discord,B
communities,I
and,O
on,O
compromised,O
social,O
media,O
accounts,B
.,O
"

",O
The,O
Impact,O
of,O
Crypto,B
Drainers,I
on,O
the,O
Crypto,B
Ecosystem,I
"

",O
While,O
it,O
is,O
challenging,O
to,O
ascertain,O
the,O
total,O
amount,O
stolen,O
by,O
crypto,B
drainers,I
due,O
to,O
underreporting,O
",",O
the,O
available,O
data,O
suggests,O
that,O
the,O
scale,O
of,O
these,O
scams,B
is,O
significant,O
.,O
In,O
fact,O
",",O
the,O
quarterly,O
growth,O
rate,O
in,O
value,O
stolen,O
by,O
drainers,B
has,O
outpaced,O
that,O
of,O
ransomware,B
",",O
another,O
fast,O
-,O
growing,O
category,O
of,O
cybercrime,B
.,O
After,O
stealing,O
digital,B
assets,I
",",O
the,O
criminals,O
typically,O
rely,O
on,O
various,O
crypto,B
services,I
to,O
launder,B
the,I
funds,I
or,O
convert,O
them,O
into,O
cash,O
.,O
There,O
has,O
been,O
a,O
noticeable,O
increase,O
in,O
funds,O
sent,O
by,O
drainers,B
to,O
mixing,B
services,I
since,O
2021,O
",",O
while,O
the,O
funds,O
sent,O
to,O
centralized,B
exchanges,I
have,O
decreased,O
.,O
Some,O
drainers,B
are,O
also,O
using,O
gambling,B
services,I
",",O
albeit,O
on,O
a,O
smaller,O
scale,O
.,O
"

",O
Bitcoin,B
's,O
Encounter,O
with,O
Crypto,B
Drainers,I
"

",O
While,O
most,O
drainers,B
currently,O
operate,O
within,O
the,O
Ethereum,B
ecosystem,I
",",O
an,O
unusual,O
drainer,B
exploiting,O
the,O
Bitcoin,B
blockchain,I
has,O
been,O
identified,O
.,O
This,O
drainer,B
created,O
a,O
fake,O
web,O
page,O
posing,O
as,O
Magic,B
Eden,I
",",O
the,O
primary,B
NFT,I
platform,I
for,O
Bitcoin,B
Ordinals,I
.,O
As,O
of,O
April,O
2024,O
",",O
this,O
drainer,B
has,O
allegedly,O
stolen,O
approximately,O
$,O
"500,000",O
in,O
over,O
"1,000",O
malicious,B
transactions,I
.,O
Despite,O
Bitcoin,B
not,O
being,O
as,O
widely,O
used,O
for,O
web3,B
services,I
as,O
other,O
assets,B
",",O
several,O
other,O
Bitcoin,B
drainers,B
have,O
already,O
targeted,O
the,O
Ordinals,B
trading,I
community,I
.,O
"

",O
Preventing,O
Crypto,B
Drainer,I
Attacks,I
"

",O
As,O
the,O
operators,O
of,O
crypto,B
drainers,I
become,O
increasingly,O
sophisticated,O
",",O
it,O
is,O
crucial,O
for,O
web3,B
projects,I
and,O
users,O
to,O
implement,O
various,O
security,B
measures,O
to,O
guard,O
against,O
these,O
scams,B
.,O
Web3,B
security,I
extensions,I
such,O
as,O
Wallet,B
Guard,I
can,O
identify,O
phishing,B
pages,I
and,O
websites,O
",",O
and,O
assess,O
security,B
risks,O
associated,O
with,O
cryptocurrency,B
wallets,I
.,O
Users,O
can,O
also,O
reduce,O
their,O
exposure,O
to,O
drainers,B
by,O
using,O
an,O
offline,B
wallet,I
to,O
store,B
valuable,O
or,O
large,O
volumes,O
of,O
assets,B
",",O
only,O
transferring,O
funds,O
to,O
a,O
hot,B
wallet,I
when,O
necessary,O
.,O
In,O
addition,O
",",O
they,O
should,O
be,O
wary,O
of,O
links,O
promoted,O
in,O
chat,O
rooms,O
or,O
on,O
social,O
media,O
",",O
which,O
may,O
not,O
be,O
associated,O
with,O
a,O
project,O
's,O
official,O
account,B
.,O
If,O
a,O
user,O
needs,O
to,O
connect,O
to,O
an,O
unfamiliar,O
web3,B
site,I
",",O
they,O
can,O
create,O
a,O
temporary,B
wallet,I
that,O
does,O
n't,O
contain,O
any,O
assets,B
and,O
connect,O
it,O
to,O
the,O
site,O
.,O
If,O
a,O
victim,O
's,O
assets,B
are,O
stolen,O
by,O
a,O
drainer,B
",",O
they,O
can,O
cancel,O
incomplete,B
transactions,I
.,O
"
",O
