Token,BIO1
Artcle,O
1,O
"

",O
Summary,O
"

",O
A,O
keypair,B
is,O
a,O
matching,O
pair,O
of,O
public,B
key,I
and,O
secret,B
key,I
.,O
"

",O
The,O
public,B
key,I
is,O
used,O
as,O
an,O
“,O
address,B
”,O
that,O
points,O
to,O
an,O
account,B
on,O
the,O
Solana,B
network,I
.,O
A,O
public,B
key,I
can,O
be,O
shared,O
with,O
anyone,O
.,O
"

",O
The,O
secret,B
key,I
is,O
used,O
to,O
verify,O
authority,B
over,O
the,O
account,B
.,O
As,O
the,O
name,O
suggests,O
",",O
you,O
should,O
always,O
keep,O
secret,B
keys,I
secret,O
.,O
"

",O
@solana,O
/,O
web3.js,O
provides,O
helper,O
functions,O
for,O
creating,O
a,O
brand,O
new,O
keypair,B
",",O
or,O
for,O
constructing,O
a,O
keypair,B
using,O
an,O
existing,O
secret,B
key,I
.,O
"

",O
Lesson,O
"

",O
Symmetric,O
and,O
Asymmetric,B
Cryptography,I
"

",O
',O
Cryptography,B
',O
is,O
literally,O
the,O
study,O
of,O
hiding,O
information,O
.,O
There,O
's,O
two,O
main,O
types,O
of,O
cryptography,B
you,O
'll,O
encounter,O
day,O
to,O
day,O
:,O
"

",O
Symmetric,B
Cryptography,I
is,O
where,O
the,O
same,O
key,B
is,O
used,O
to,O
encrypt,B
and,O
decrypt,B
.,O
It,O
's,O
hundreds,O
of,O
years,O
old,O
",",O
and,O
has,O
been,O
used,O
by,O
everyone,O
from,O
the,O
ancient,O
Egyptians,O
to,O
Queen,O
Elizabeth,O
I.,O
"

",O
There,O
's,O
a,O
variety,O
of,O
symmetric,B
cryptography,I
algorithms,I
",",O
but,O
the,O
most,O
common,O
you,O
'll,O
see,O
today,O
are,O
AES,B
and,O
Chacha20,B
.,O
"

",O
Asymmetric,B
Cryptography,I
"

",O
Asymmetric,B
cryptography,I
-also,O
called,O
',O
public,B
key,I
cryptography,I
',O
was,O
developed,O
in,O
the,O
1970s,O
.,O
In,O
asymmetric,B
cryptography,I
",",O
participants,O
have,O
pairs,O
of,O
keys,O
(,O
or,O
keypairs,B
),O
.,O
Each,O
keypair,B
consists,O
of,O
a,O
secret,B
key,I
and,O
a,O
public,B
key,I
.,O
Asymmetric,B
encryption,I
works,O
differently,O
from,O
symmetric,B
encryption,I
",",O
and,O
can,O
do,O
different,O
things,O
:,O
"

",O
Encryption,B
:,O
if,O
it,O
's,O
encrypted,B
with,O
a,O
public,B
key,I
",",O
only,O
the,O
secret,B
key,I
from,O
the,O
same,O
keypair,B
can,O
be,O
used,O
to,O
read,O
it,O
"

",O
Signatures,B
:,O
if,O
it,O
's,O
encrypted,B
with,O
a,O
secret,B
key,I
",",O
the,O
public,B
key,I
from,O
the,O
same,O
keypair,B
can,O
be,O
used,O
to,O
prove,O
the,O
secret,B
key,I
holder,I
signed,O
it,O
.,O
"

",O
You,O
can,O
even,O
use,O
asymmetric,B
cryptography,I
to,O
work,O
out,O
a,O
good,O
key,B
for,O
symmetric,B
cryptography,I
!,O
This,O
is,O
called,O
key,B
exchange,I
",",O
where,O
you,O
use,O
your,O
public,B
keys,I
and,O
the,O
recipient,O
's,O
public,B
key,I
to,O
come,O
up,O
with,O
a,O
',O
session,O
',O
key,B
.,O
"

",O
There,O
's,O
a,O
variety,O
of,O
asymmetric,B
cryptography,I
algorithms,O
",",O
but,O
the,O
most,O
common,O
you,O
'll,O
see,O
today,O
are,O
variants,O
of,O
ECC,B
or,O
RSA,B
.,O
"

",O
Asymmetric,B
encryption,I
is,O
very,O
popular,O
:,O
"

",O
Your,O
bank,O
card,B
has,O
a,O
secret,B
key,I
inside,O
it,O
that,O
's,O
used,O
to,O
sign,O
transactions,B
.,O
"

",O
Your,O
bank,O
can,O
confirm,B
you,O
made,O
the,O
transaction,B
