Token,BIO1
Article,O
5,O
(,O
https://www.soldev.app/course/serialize-instruction-data,O
),O
"

",O
Summary,O
"

",O
Transactions,B
are,O
made,O
up,O
of,O
an,O
array,O
of,O
instructions,B
",",O
a,O
single,O
transaction,B
can,O
have,O
any,O
number,O
of,O
instructions,B
in,O
it,O
",",O
each,O
targeting,O
its,O
own,O
program,O
.,O
When,O
a,O
transaction,B
is,O
submitted,O
",",O
the,O
Solana,B
runtime,I
will,O
process,O
its,O
instructions,B
in,O
order,O
and,O
atomically,O
",",O
meaning,O
that,O
if,O
any,O
of,O
the,O
instructions,B
fail,O
for,O
any,O
reason,B
",",O
the,O
entire,O
transaction,B
will,O
fail,O
to,O
be,O
processed,O
.,O
"

",O
Every,O
instruction,B
is,O
made,O
up,O
of,O
3,O
components,O
:,O
the,O
intended,O
program,O
's,O
ID,O
",",O
an,O
array,O
of,O
all,O
account,B
’s,O
involved,O
",",O
and,O
a,O
byte,B
buffer,I
of,O
instruction,B
data,O
.,O
"

",O
Every,O
transaction,B
contains,O
:,O
an,O
array,O
of,O
all,O
accounts,B
it,O
intends,O
to,O
read,O
or,O
write,O
",",O
one,O
or,O
more,O
instructions,B
",",O
a,O
recent,O
blockhash,B
",",O
and,O
one,O
or,O
more,O
signatures,B
.,O
"

",O
In,O
order,O
to,O
pass,O
instruction,B
data,O
from,O
a,O
client,B
",",O
it,O
must,O
be,O
serialized,O
into,O
a,O
byte,B
buffer,I
.,O
To,O
facilitate,O
this,O
process,O
of,O
serialization,B
",",O
we,O
will,O
be,O
using,O
Borsh,B
.,O
"

",O
Transactions,B
can,O
fail,O
to,O
be,O
processed,O
by,O
the,O
blockchain,B
for,O
any,O
number,O
of,O
reasons,O
",",O
we,O
’ll,O
discuss,O
some,O
of,O
the,O
most,O
common,O
ones,O
here,O
.,O
"

",O
Lesson,O
"

",O
Transactions,B
"

",O
Transactions,B
are,O
how,O
we,O
send,O
information,O
to,O
the,O
blockchain,B
in,O
order,O
to,O
be,O
processed,O
.,O
So,O
far,O
",",O
we,O
’ve,O
learned,O
how,O
to,O
create,O
very,O
basic,O
transactions,B
with,O
limited,O
functionality,O
.,O
But,O
transactions,B
",",O
and,O
the,O
programs,B
they,O
are,O
sent,O
to,O
",",O
can,O
be,O
designed,O
to,O
be,O
far,O
more,O
flexible,O
and,O
handle,O
far,O
more,O
complexity,O
than,O
we,O
’ve,O
dealt,O
with,O
up,O
to,O
now,O
.,O
"

",O
Transaction,B
Contents,I
"

",O
Every,O
transaction,B
contains,O
:,O
"

",O
An,O
array,O
that,O
includes,O
every,O
account,B
it,O
intends,O
to,O
read,O
or,O
write,O
"

",O
One,O
or,O
more,O
instructions,B
"

",O
A,O
recent,O
blockhash,B
"

",O
One,O
or,O
more,O
signatures,B
"

",O
@solana,O
/,O
web3.js,O
simplifies,O
this,O
process,O
for,O
you,O
so,O
that,O
all,O
you,O
really,O
need,O
to,O
focus,O
on,O
is,O
adding,O
instructions,B
and,O
signatures,B
.,O
The,O
library,O
builds,O
the,O
array,O
of,O
accounts,B
based,O
on,O
that,O
information,O
and,O
handles,O
the,O
logic,O
for,O
including,O
a,O
recent,O
blockhash,B
.,O
"

",O
Instructions,B
"

",O
Every,O
instruction,B
contains,O
:,O
"

",O
The,O
program,O
ID,O
(,O
public,B
key,I
),O
of,O
the,O
intended,O
program,O
"

",O
An,O
array,O
listing,O
every,O
account,B
that,O
will,O
be,O
read,O
from,O
or,O
written,O
to,O
during,O
execution,O
"

",O
A,O
byte,B
buffer,I
of,O
instruction,B
data,O
"

",O
Identifying,O
the,O
program,O
by,O
its,O
public,B
key,I
ensures,O
that,O
the,O
instruction,B
is,O
carried,O
out,O
by,O
the,O
correct,O
program,O
.,O
"

",O
Including,O
an,O
array,O
of,O
every,O
account,B
that,O
will,O
be,O
read,O
from,O
or,O
written,O
to,O
allows,O
the,O
network,B
to,O
perform,O
a,O
number,O
of,O
optimizations,O
which,O
allow,O
for,O
high,O
transaction,B
load,O
and,O
quicker,O
execution,O
.,O
"

",O
The,O
byte,B
buffer,I
lets,O
you,O
pass,O
external,O
data,O
to,O
a,O
program,O
.,O
"

",O
You,O
can,O
include,O
multiple,O
instructions,B
in,O
a,O
single,O
transaction,B
.,O
The,O
Solana,B
runtime,I
will,O
process,O
these,O
instructions,B
in,O
order,O
and,O
atomically,O
.,O
In,O
other,O
words,O
",",O
if,O
every,O
instruction,B
succeeds,O
then,O
the,O
transaction,B
as,O
a,O
whole,O
will,O
be,O
successful,O
",",O
but,O
if,O
a,O
single,O
instruction,B
fails,O
then,O
the,O
entire,O
transaction,B
will,O
fail,O
immediately,O
with,O
no,O
side,O
-,O
effects,O
.,O
"

",O
The,O
account,B
array,O
is,O
not,O
just,O
an,O
array,O
of,O
the,O
accounts,B
’,O
public,B
keys,I
.,O
Each,O
object,O
in,O
the,O
array,O
includes,O
the,O
account,B
’s,O
public,B
key,I
",",O
whether,O
or,O
not,O
it,O
is,O
a,O
signer,O
on,O
the,O
transaction,B
",",O
and,O
