Token,BIO1
Definitions,O
"

 

",O
Electrolyte,B
Plasma,I
Nitriding,I
:,O
A,O
surface,O
hardening,B
process,O
that,O
uses,O
plasma,B
in,O
an,O
electrolytic,B
solution,O
to,O
introduce,O
nitrogen,B
into,O
the,O
surface,O
of,O
a,O
material,B
",",O
improving,O
its,O
wear,B
resistance,I
and,O
hardness,B
.,O
"

 

",O
High,B
-,I
Speed,I
Steel,I
(,O
HSS,B
):,O
A,O
class,O
of,O
alloy,B
steels,B
that,O
can,O
withstand,O
high,O
temperatures,B
without,O
losing,O
hardness,B
",",O
primarily,O
used,O
in,O
cutting,B
tools,I
and,O
drill,B
bits,I
due,O
to,O
their,O
ability,O
to,O
cut,O
faster,O
than,O
high,B
carbon,I
steels,I
.,O
"

 

",O
Wear,B
Resistance,I
:,O
The,O
ability,O
of,O
a,O
material,B
to,O
resist,O
being,O
worn,O
away,O
by,O
friction,B
and,O
mechanical,B
action,O
",",O
thereby,O
extending,O
its,O
service,O
life,O
in,O
various,O
applications,O
.,O
"

 

",O
Microhardness,B
:,O
A,O
measure,O
of,O
a,O
material,B
's,O
hardness,B
on,O
a,O
microscopic,B
scale,O
",",O
typically,O
determined,O
by,O
indenting,O
the,O
material,B
with,O
a,O
diamond,B
tip,O
and,O
measuring,O
the,O
size,O
of,O
the,O
indentation,B
.,O
"

 

",O
Structural,B
-,I
Phase,I
States,I
:,O
The,O
various,O
structural,O
forms,O
(,O
phases,O
),O
and,O
arrangements,O
within,O
a,O
material,B
",",O
which,O
can,O
significantly,O
influence,O
its,O
properties,O
such,O
as,O
strength,B
",",O
hardness,B
",",O
and,O
ductility,B
.,O
"

 

",O
Diffusion,B
Saturation,I
Process,I
:,O
A,O
treatment,O
process,O
that,O
introduces,O
atoms,B
of,O
a,O
certain,O
element,O
into,O
the,O
surface,O
of,O
a,O
material,B
through,O
diffusion,B
",",O
aiming,O
to,O
improve,O
properties,O
like,O
hardness,B
",",O
wear,B
resistance,I
",",O
and,O
corrosion,B
resistance,I
.,O
"

 

",O
Ferrite,B
-,I
Pearlite,I
Structure,I
:,O
A,O
common,O
microstructure,B
found,O
in,O
steel,B
",",O
consisting,O
of,O
a,O
mixture,O
of,O
ferrite,B
(,O
soft,O
phase,O
),O
and,O
pearlite,B
(,O
layered,O
structure,B
of,O
ferrite,B
and,O
cementite,B
),O
",",O
affecting,O
the,O
steel,B
's,O
mechanical,B
properties,O
.,O
"

 

",O
Martensite,B
Phase,I
Components,I
:,O
Products,O
of,O
a,O
diffusionless,O
transformation,O
characterized,O
by,O
a,O
body,O
-,O
centered,O
tetragonal,O
crystal,B
structure,I
",",O
resulting,O
in,O
a,O
hard,O
and,O
brittle,B
phase,O
in,O
steels,B
.,O
"

 

",O
Carbides,B
Particles,I
:,O
Hard,O
particles,O
formed,O
by,O
carbon,B
and,O
other,O
elements,O
(,O
like,O
tungsten,B
",",O
chromium,B
",",O
or,O
vanadium,B
),O
in,O
metals,B
",",O
contributing,O
to,O
the,O
hardness,B
and,O
wear,B
resistance,I
of,O
the,O
material,B
.,O
"

 

",O
Plasma,B
Flows,I
:,O
Streams,O
of,O
ionized,B
gas,I
containing,O
an,O
equal,O
number,O
of,O
free,O
electrons,B
and,O
positive,B
ions,I
",",O
used,O
in,O
various,O
processes,O
like,O
plasma,B
cutting,I
",",O
nitriding,B
",",O
and,O
surface,O
treatments,O
.,O
"

 

",O
Electron,B
and,I
Ion,I
Beams,I
:,O
Streams,O
of,O
electrons,B
or,O
ions,B
directed,O
at,O
a,O
target,O
material,B
",",O
used,O
for,O
material,B
processing,O
",",O
including,O
welding,B
",",O
cutting,O
