Token,BIO1
"
",O
Transparent,B
Conductive,I
Oxides,I
(,O
TCOs,B
):,O
Oxide,B
materials,B
that,O
are,O
transparent,O
to,O
visible,B
light,I
and,O
conduct,O
electricity,B
",",O
used,O
in,O
touch,B
screens,I
",",O
flat,B
-,I
panel,I
displays,I
",",O
and,O
photovoltaic,B
cells,I
.,O
"

 

",O
Wear,B
Mechanisms,I
:,O
The,O
processes,O
by,O
which,O
material,B
is,O
removed,O
from,O
a,O
surface,O
during,O
relative,O
motion,O
",",O
including,O
abrasion,B
",",O
adhesion,B
",",O
surface,B
fatigue,I
",",O
and,O
erosion,B
.,O
"

 

",O
Bio,B
-,I
composites,I
:,O
Composite,B
materials,I
made,O
from,O
a,O
biological,B
or,O
renewable,B
matrix,I
and,O
reinforcements,O
",",O
used,O
in,O
environmentally,O
friendly,O
applications,O
.,O
"

 

",O
Carbon,B
Fiber,I
Reinforced,I
Plastic,I
(,O
CFRP,B
):,O
A,O
composite,O
material,B
consisting,O
of,O
carbon,B
fibers,I
embedded,O
in,O
a,O
plastic,B
resin,I
",",O
offering,O
high,O
strength,B
",",O
stiffness,B
",",O
and,O
lightweight,O
",",O
used,O
in,O
aerospace,B
",",O
automotive,B
",",O
and,O
sports,O
equipment,O
.,O
"

 

",O
Ceramic,B
Coatings,I
:,O
Thin,B
films,I
of,O
ceramic,B
material,B
deposited,B
on,O
a,O
substrate,B
to,O
provide,O
protective,O
properties,O
such,O
as,O
wear,B
",",O
corrosion,B
resistance,I
",",O
and,O
thermal,B
insulation,I
.,O
"

 

",O
Cold,B
Welding,I
:,O
A,O
solid,B
-,I
state,I
welding,I
process,O
that,O
joins,O
two,O
pieces,O
of,O
metal,B
without,O
the,O
application,O
of,O
heat,B
",",O
relying,O
on,O
pressure,B
to,O
cause,O
atomic,O
bonds,O
between,O
the,O
materials,B
.,O
"

 

",O
Conductive,B
Inks,I
:,O
Inks,O
that,O
contain,O
conductive,B
materials,I
",",O
such,O
as,O
silver,O
or,O
carbon,B
",",O
used,O
to,O
create,O
electrical,B
circuits,O
and,O
components,O
on,O
various,O
substrates,O
",",O
including,O
paper,O
and,O
textiles,B
.,O
"

 

",O
Cryo,B
-,I
milling,I
:,O
A,O
milling,O
process,O
conducted,O
at,O
cryogenic,B
temperatures,I
to,O
prevent,O
heat,B
buildup,O
and,O
reduce,O
the,O
grain,B
size,O
of,O
the,O
material,B
",",O
enhancing,O
its,O
mechanical,B
properties,O
.,O
"

 

",O
Crystal,B
Plasticity,I
Finite,I
Element,I
Method,I
(,O
CPFEM,B
):,O
A,O
computational,O
approach,O
used,O
to,O
simulate,O
the,O
