Token,BIO1
"
",O
Rheology,B
:,O
The,O
study,O
of,O
the,O
flow,O
and,O
deformation,B
of,O
matter,B
",",O
focusing,O
on,O
the,O
behavior,O
of,O
complex,O
fluids,B
and,O
soft,B
solids,I
under,O
various,O
conditions,O
of,O
stress,B
and,O
strain,B
.,O
"

 

",O
Rolling,B
:,O
A,O
metalworking,B
process,O
that,O
involves,O
passing,O
metal,B
through,O
one,O
or,O
more,O
pairs,O
of,O
rolls,O
to,O
reduce,O
thickness,O
",",O
increase,O
length,O
",",O
and,O
improve,O
surface,O
finish,O
.,O
"

 

",O
Scaffolding,B
Materials,I
:,O
Materials,B
used,O
in,O
tissue,B
engineering,I
as,O
temporary,O
structures,B
to,O
support,O
the,O
growth,O
and,O
formation,O
of,O
new,O
tissues,O
until,O
the,O
body,O
can,O
rebuild,O
itself,O
.,O
"

 

",O
Scanning,B
Tunneling,I
Microscopy,I
(,O
STM,B
):,O
A,O
technique,O
that,O
provides,O
atomic,O
-,O
level,O
images,O
of,O
surfaces,O
using,O
a,O
sharp,O
tip,O
that,O
scans,O
the,O
surface,O
at,O
a,O
close,O
distance,O
",",O
utilizing,O
quantum,B
tunneling,I
of,O
electrons,B
between,O
the,O
tip,O
and,O
the,O
surface,O
.,O
"

 

",O
Segregation,B
:,O
The,O
non,O
-,O
uniform,O
distribution,O
of,O
alloying,O
elements,O
",",O
impurities,B
",",O
or,O
phases,O
within,O
a,O
material,B
or,O
casting,B
",",O
often,O
leading,O
to,O
variations,O
in,O
microstructure,B
and,O
properties,O
.,O
"

 

",O
Shape,B
Memory,I
Alloys,I
(,O
SMAs,B
):,O
Alloys,B
that,O
can,O
return,O
to,O
their,O
original,O
shape,O
after,O
being,O
deformed,B
when,O
exposed,O
to,O
a,O
certain,O
temperature,O
",",O
utilized,O
in,O
actuators,B
",",O
sensors,B
",",O
and,O
medical,O
devices,O
.,O
"

 

",O
Sintering,B
:,O
A,O
process,O
where,O
powdered,O
materials,B
are,O
heated,O
below,O
their,O
melting,B
point,I
to,O
bond,O
particles,O
together,O
",",O
producing,O
a,O
solid,B
structure,I
",",O
widely,O
used,O
in,O
powder,B
metallurgy,I
and,O
ceramic,B
processing,O
.,O
"

 

",O
Slip,B
Systems,I
:,O
The,O
combination,O
of,O
slip,B
planes,O
and,O
slip,B
directions,O
along,O
which,O
dislocations,B
move,O
under,O
stress,B
",",O
critical,O
for,O
understanding,O
the,O
plastic,B
deformation,I
of,O
crystals,B
.,O
"

 

",O
Sol,B
-,I
Gel,I
Process,I
:,O
A,O
wet,O
-,O
chemical,B
technique,O
for,O
fabricating,B
solid,B
materials,I
from,O
small,O
molecules,B
through,O
the,O
formation,O
of,O
a,O
colloidal,B
solution,I
(,O
sol,B
),O
that,O
acts,O
as,O
the,O
precursor,O
for,O
an,O
integrated,O
network,O
(,O
gel,O
),O
of,O
either,O
discrete,O
particles,O
or,O
network,O
polymers,B
.,O
"

 

",O
Solid,B
Solution,I
Strengthening,I
:,O
The,O
enhancement,O
of,O
a,O
metal,B
's,O
strength,B
and,O
hardness,B
through,O
the,O
addition,O
of,O
solute,B
atoms,B
that,O
distort,O
the,O
metal,B
lattice,I
and,O
hinder,O
dislocation,O
motion,O
.,O
"

 

",O
Solid,B
-,I
State,I
Welding,I
:,O
A,O
group,O
of,O
welding,B
processes,O
that,O
join,O
materials,B
without,O
melting,B
them,O
",",O
involving,O
the,O
application,O
of,O
pressure,B
",",O
and,O
sometimes,O
heat,B
",",O
to,O
create,O
a,O
weld,O
.,O
"

 

",O
Spark,B
Plasma,I
Sintering,I
(,O
SPS,B
):,O
A,O
sintering,B
technique,O
that,O
applies,O
a,O
pulsed,O
electric,B
current,I
under,O
high,O
pressure,B
to,O
the,O
powdered,B
material,I
",",O
enabling,O
rapid,O
densification,O
at,O
lower,O
temperatures,B
.,O
"

 

",O
Spectroscopy,B
:,O
The,O
study,O
of,O
the,O
interaction,O
between,O
matter,B
and,O
electromagnetic,B
radiation,I
",",O
used,O
to,O
analyze,O
the,O
composition,O
",",O
structure,B
",",O
and,O
physical,B
properties,O
of,O
materials,B
.,O
"

 

",O
Spinodal,B
Decomposition,I
:,O
A,O
phase,O
separation,O
process,O
occurring,O
in,O
alloys,B
",",O
where,O
a,O
single,O
-,O
phase,O
alloy,B
spontaneously,O
separates,O
into,O
two,O
different,O
compositions,O
due,O
to,O
fluctuations,O
in,O
concentration,O
",",O
leading,O
to,O
a,O
distinct,O
microstructure,B
.,O
"

 

",O
Sputtering,B
:,O
A,O
physical,B
vapor,I
deposition,I
(,O
PVD,B
),O
process,O
used,O
to,O
deposit,O
thin,B
films,I
by,O
ejecting,O
atoms,B
from,O
a,O
solid,B
target,O
material,B
onto,O
a,O
substrate,B
using,O
high,B
-,I
energy,I
ions,I
.,O
"

 

",O
Stainless,B
Steels,I
