Token,BIO1
"
",O
Impact,B
Toughness,I
:,O
The,O
ability,O
of,O
a,O
material,B
to,O
absorb,B
energy,I
and,O
plastically,B
deform,I
without,O
fracturing,B
when,O
subjected,O
to,O
a,O
high,O
rate,O
of,O
loading,O
",",O
as,O
in,O
an,O
impact,O
.,O
"

 

",O
Impedance,B
Spectroscopy,I
:,O
A,O
technique,O
that,O
measures,O
the,O
electrical,B
impedance,I
of,O
a,O
material,B
as,O
a,O
function,O
of,O
frequency,O
",",O
used,O
to,O
characterize,O
materials,B
',O
electrical,B
properties,O
.,O
"

 

",O
Inclusion,B
Analysis,I
:,O
The,O
study,O
of,O
non,B
-,I
metallic,I
particles,O
within,O
a,O
metal,B
or,O
alloy,B
",",O
which,O
can,O
affect,O
its,O
mechanical,B
properties,O
and,O
quality,O
.,O
"

 

",O
Indentation,B
Hardness,I
:,O
A,O
measure,O
of,O
a,O
material,B
's,O
resistance,B
to,O
permanent,O
indentation,B
",",O
determined,O
by,O
pressing,B
a,O
hard,O
indenter,B
into,O
the,O
material,B
's,O
surface,O
under,O
a,O
specific,O
load,O
.,O
"

 

",O
Induction,B
Hardening,I
:,O
A,O
heat,B
treatment,I
process,O
that,O
hardens,O
the,O
surface,O
of,O
a,O
metal,B
part,O
by,O
heating,O
it,O
through,O
electromagnetic,B
induction,I
",",O
followed,O
by,O
rapid,O
cooling,O
(,O
quenching,B
),O
.,O
"

 

",O
Infrared,B
Spectroscopy,I
:,O
A,O
technique,O
used,O
to,O
identify,O
and,O
study,O
chemicals,B
through,O
their,O
absorption,B
of,O
infrared,B
light,I
",",O
revealing,O
molecular,B
vibrations,I
and,O
chemical,B
compositions,O
.,O
"

 

",O
Intergranular,B
Corrosion,I
:,O
Corrosion,B
that,O
occurs,O
along,O
the,O
grain,B
boundaries,I
of,O
a,O
material,B
",",O
often,O
due,O
to,O
the,O
segregation,B
of,O
impurities,B
or,O
the,O
depletion,O
of,O
alloying,O
elements,O
.,O
"

 

",O
Intermetallic,B
Compounds,I
:,O
Compounds,B
composed,O
of,O
two,O
or,O
more,O
metals,B
