Token,BIO1
    ,O
Мөлдір,B
өткізгіш,I
оксидтер,I
-сенсорлық,O
экрандарда,O
",",O
жалпақ,O
дисплейлерде,O
және,O
фотоэлектрлік,O
элементтерде,O
қолданылатын,O
көрінетін,O
жарыққа,O
мөлдір,O
және,O
электр,B
өткізгіш,I
оксидті,O
материалдар,O
.,O
"

    ",O
Тозу,B
механизмдері,O
-тозу,O
",",O
адгезия,B
",",O
беттік,O
қажу,O
және,O
эрозияны,B
қоса,O
алғанда,O
",",O
салыстырмалы,O
қозғалыс,O
кезінде,O
материал,O
бетінен,O
жойылатын,O
процестер,O
.,O
"
    
    ",O
Биокомпозиттер,O
-экологиялық,O
таза,O
қолдану,O
салаларында,O
қолданылатын,O
биологиялық,O
немесе,O
жаңартылатын,O
матрицадан,O
және,O
арматуралық,O
материалдардан,O
жасалған,O
композициялық,B
материалдар,I
.,O
"
     
    ",O
Көміртекті,B
пластик,I
-аэроғарыш,O
өнеркәсібінде,O
",",O
автомобиль,O
өнеркәсібінде,O
және,O
спорт,O
жабдықтарында,O
қолданылатын,O
жоғары,O
беріктігі,O
",",O
қаттылығы,O
және,O
салмағы,O
аз,O
пластикалық,O
шайырға,O
салынған,O
көміртекті,O
талшықтардан,O
тұратын,O
композициялық,B
материал,I
.,O
"
    
    ",O
Керамикалық,B
жабындар,I
-тозуға,O
төзімділік,O
",",O
коррозияға,B
төзімділік,O
және,O
жылу,O
оқшаулау,O
сияқты,O
қорғаныс,O
қасиеттерін,O
қамтамасыз,O
ету,O
үшін,O
субстратқа,O
қолданылатын,O
керамикалық,B
материалдың,O
жұқа,O
қабықшалары,O
.,O
"
    
    ",O
Суық,B
дәнекерлеу,I
-материалдар,O
арасында,O
атомдық,O
байланыстар,O
жасау,O
үшін,O
қысымды,O
қолдана,O
отырып,O
",",O
жылуды,O
қолданбай,O
екі,O
металл,B
бөлігін,O
біріктіретін,O
қатты,B
күйде,O
дәнекерлеу,O
процесі,O
.,O
"
    
    ",O
Өткізгіш,B
сия,O
-қағаз,O
бен,O
тоқыма,O
бұйымдарын,O
қоса,O
алғанда,O
",",O
әртүрлі,O
субстраттарда,O
электр,B
тізбектері,O
мен,O
компоненттерін,O
жасау,O
үшін,O
қолданылатын,O
күміс,O
немесе,O
көміртек,O
сияқты,O
өткізгіш,B
материалдары,O
бар,O
сия,O
.,O
"
    
    ",O
Криофрезерлеу,B
-жылудың,O
жиналуын,O
болдырмау,O
және,O
материалдың,O
түйіршіктерінің,O
мөлшерін,O
азайту,O
",",O
оның,O
механикалық,O
қасиеттерін,O
жақсарту,O
үшін,O
криогендік,O
температурада,O
жүргізілетін,O
ұнтақтау,O
процесі,O
.,O
"
    
    ",O
Кристалдық,B
пластиканың,I
ақырлы,I
элементтік,I
әдісі,I
-түйіршіктердің,O
кристаллографиялық,O
бағытын,O
ескере,O
отырып,O
",",O
микроқұрылымдық,O
деңгейде,O
кристалдық,O
материалдардың,O
деформациялық,B
әрекетін,O
модельдеу,O
үшін,O
қолданылатын,O
есептеу,O
әдісі,O
.,O
"
     
    ",O
Материалтану,B
саласындағы,I
цифрлық,I
дубль,I
технологиясы,I
