Token,BIO1
    ,O
Соққы,B
тұтқырлығы,I
-материалдың,O
энергияны,O
сіңіру,O
және,O
жоғары,O
жүктеме,O
жылдамдығында,O
",",O
мысалы,O
",",O
соққы,O
кезінде,O
бұзылмай,O
пластикалық,O
деформациялану,B
қабілеті,O
.,O
"
    
    ",O
Импеданс,B
спектроскопиясы,I
-жиілікке,O
байланысты,O
материалдың,O
электрлік,O
кедергісін,O
өлшейтін,O
және,O
материалдардың,O
электрлік,O
қасиеттерін,O
сипаттау,O
үшін,O
қолданылатын,O
әдіс,O
.,O
"
    
    ",O
Инклюзивті,B
талдау,I
-бұл,O
металдың,O
немесе,O
қорытпаның,O
механикалық,O
қасиеттері,O
мен,O
сапасына,O
әсер,O
етуі,O
мүмкін,O
металл,B
емес,O
бөлшектерді,O
зерттеу,O
.,O
"
    
    ",O
Басылған,B
кездегі,I
қаттылық,I
-белгілі,O
бір,O
жүктеме,O
кезінде,O
материалдың,O
бетіне,O
қатты,B
индентаторды,O
басу,O
арқылы,O
анықталатын,O
материалдың,O
тұрақты,O
қысымға,O
төзімділік,O
көрсеткіші,O
.,O
"
    
    ",O
Индукциялық,B
шыңдау,I
-термиялық,O
өңдеу,O
процесі,O
",",O
онда,O
металл,B
бөліктің,O
беті,O
электромагниттік,O
индукция,O
арқылы,O
қыздыру,O
арқылы,O
қатаяды,O
",",O
содан,O
кейін,O
тез,O
салқындатылады,O
(,O
қатайтылады,O
),O
.,O
"
    
    ",O
Инфрақызыл,B
спектроскопия,I
-бұл,O
инфрақызыл,O
сәулені,O
сіңіру,O
",",O
молекулалық,O
тербелістер,O
мен,O
химиялық,O
құрамды,O
анықтау,O
арқылы,O
химиялық,O
заттарды,O
анықтау,O
және,O
зерттеу,O
үшін,O
қолданылатын,O
әдіс,O
.,O
"
    
    ",O
Кристалларалық,B
коррозия,I
-көбінесе,O
қоспалардың,O
бөлінуіне,O
немесе,O
легирлеуші,B
элементтер,O
қорының,O
сарқылуына,O
байланысты,O
материал,O
түйіршіктерінің,O
шекараларында,O
пайда,O
болатын,O
коррозия,B
.,O
"
    
    ",O
Металларалық,B
қосылыстар,I
-айқын,O
кристалдық,O
құрылымы,O
бар,O
және,O
бірегей,O
механикалық,O
",",O
термиялық,O
және,O
электрлік,O
қасиеттері,O
бар,O
екі,O
немесе,O
одан,O
да,O
