Token,BIO1
   ,O
Легирлеуші,B
элементтердің,I
таралуы,I
-легирлеуші,O
элементтердің,O
металға,O
немесе,O
қорытпаға,O
таралу,O
тәсілі,O
.,O
Легирлеуші,B
элементтер,O
металдың,O
механикалық,O
қасиеттеріне,O
",",O
коррозияға,B
төзімділігіне,O
және,O
термиялық,B
өңдеуге,I
реакциясына,O
әсер,O
етеді,O
.,O
"
   
    ",O
Микрозондты,B
талдау,I
-фокусталған,O
электрон,B
сәулелері,O
немесе,O
рентген,B
сәулелері,O
арқылы,O
материалдың,O
шағын,O
бөліктерінің,O
химиялық,O
құрамын,O
анықтау,O
үшін,O
қолданылатын,O
аналитикалық,O
әдіс,O
.,O
"
   
   ",O
Микроқұрылымның,B
эволюциясы,I
-оның,O
қасиеттеріне,O
әсер,O
ететін,O
термиялық,B
өңдеу,I
",",O
деформация,B
немесе,O
ескіру,O
сияқты,O
процестер,O
нәтижесінде,O
материалдың,O
микроқұрылымындағы,O
өзгерістер,O
.,O
"
   
   ",O
Детонациялық,B
наноқұрылымды,I
жабын,I
-қаттылық,O
пен,O
коррозияға,B
төзімділік,O
сияқты,O
материалдың,O
беттік,O
қасиеттерін,O
жақсартатын,O
наноөлшемді,O
материалдың,O
жұқа,O
қабатын,O
алу,O
үшін,O
басқарылатын,O
жарылғыш,O
газ,B
энергиясы,O
қолданатын,O
жабын,O
алу,O
процесі,O
.,O
"
   
    ",O
Градиентті,B
жабын,I
–,O
материал,O
бетінің,O
белгілі,O
бір,O
қасиеттерін,O
жақсартуға,O
арналған,O
қалыңдығы,O
бойынша,O
құрамы,O
немесе,O
құрылымы,O
біртіндеп,O
өзгеретін,O
жабындар,O
.,O
"
   
   ",O
Плазмалық-электролиттік,B
тотығу,I
(,O
ПЭТ,B
),O
-алюминий,O
",",O
магний,O
және,O
титан,O
сияқты,O
металдардың,O
тозуға,B
",",O
коррозияға,B
және,O
ыстыққа,O
төзімділігін,O
арттыру,O
үшін,O
оксидті,O
жабындар,O
түзетін,O
бетті,O
электрохимиялық,O
өңдеу,O
процесі,O
.,O
"
   
    ",O
Детонациялық,B
бүрку,I
-жабын,O
қалыптастыру,O
үшін,O
субстратқа,O
ұнтақ,O
материалды,O
детонациялық,O
толқындарды,O
қолдану,O
арқылы,O
жоғары,O
жылдамдықта,O
ұшырып,O
",",O
жабу,O
процесі,O
.,O
Бұл,O
әдіс,O
қатты,B
және,O
тозуға,B
төзімді,O
жабындарды,O
алу,O
үшін,O
қолданылады,O
.,O
"
    
   ",O
Аддитивті,B
өндіріс,I
-көбінесе,O
3D,O
басып,O
шығару,O
деп,O
