Token,BIO1
Анықтамалар,O
"
   
   ",O
Электролиттік,B
плазмалық,I
азоттау,I
-материалдың,O
бетіне,O
азотты,O
енгізу,O
үшін,O
электролиттік,O
ерітіндідегі,O
плазманы,O
қолданатын,O
беттік,O
қатайту,O
процесі,O
.,O
Бұл,O
процесс,O
материалдың,O
тозуға,B
төзімділігі,O
мен,O
қаттылығын,O
арттырады,O
.,O
"
   
   ",O
Тезкескіш,B
болат,I
-Қаттылығын,O
жоғалтпай,O
жоғары,O
температураға,O
төтеп,O
бере,O
алатын,O
легирленген,O
болаттар,O
класы,O
.,O
Негізінен,O
жоғары,O
көміртекті,O
болаттарға,O
қарағанда,O
кесу,O
қабілетінің,O
жоғары,O
болғандықтан,O
кескіш,O
құралдар,O
мен,O
бұрғылар,O
жасауда,O
қолданылады,O
.,O
"
   
   ",O
Тозуға,B
төзімділік,O
-материалдың,O
үйкеліс,B
және,O
механикалық,O
әсер,O
нәтижесінде,O
тозуға,B
қарсы,O
тұру,O
қабілеті,O
.,O
Осылайша,O
материалдың,O
әртүрлі,O
салаларда,O
қолдану,O
уақытын,O
ұзартады,O
.,O
"
   
   ",O
Микроқаттылық,B
-материалдың,O
микроскопиялық,B
масштабтағы,O
қаттылық,B
өлшемі,O
.,O
Әдетте,O
материалды,O
алмаз,O
ұшымен,O
із,O
түсіру,O
және,O
түскен,O
ізді,O
өлшеу,O
арқылы,O
анықтайды,O
.,O
"
   
   ",O
Құрылымдық-фазалық,B
күйлер,I
–,O
материалдың,O
беріктік,O
",",O
қаттылық,B
және,O
иілгіштік,O
сияқты,O
қасиеттеріне,O
айтарлықтай,O
әсер,O
етуі,O
мүмкін,O
материалдың,O
ішіндегі,O
әртүрлі,O
құрылымдық,O
пішіндер,O
(,O
фазалар,O
),O
және,O
орналасулар,O
.,O
"
   
   ",O
Диффузиялық,B
қанықтыру,I
процесі,I
–,O
материалдың,O
қаттылық,B
",",O
тозуға,B
және,O
коррозияға,B
төзімділік,O
сияқты,O
қасиеттерін,O
жақсарту,O
мақсатында,O
белгілі,O
бір,O
элементтің,O
атомдары,O
материалдың,O
бетіне,O
диффузия,O
арқылы,O
енгізілетін,O
өңдеу,O
процесі,O
.,O
"
   
   ",O
Феррит,B
-,I
перлит,I
құрылым,I
-болаттың,O
механикалық,O
қасиеттеріне,O
әсер,O
ететін,O
феррит,O
(,O
жұмсақ,O
фаза,O
),O
және,O
перлит,O
(,O
феррит,O
пен,O
цементиттің,B
қабатты,O
құрылымы,O
),O
қоспасынан,O
тұратын,O
болаттың,O
кең,O
таралған,O
микроқұрылым,O
түрі,O
.,O
"
   
   ",O
Мартенсит,B
фазасының,I
компоненттері,I
-болаттарда,O
қатты,B
және,O
сынғыш,O
фазаның,O
пайда,O
болуына,O
әкелетін,O
денеге,O
бағытталған,O
тетрагональды,O
кристалдық,O
құрылыммен,O
сипатталатын,O
диффузионсыз,O
фазалық,O
өзгерістердің,O
нәтижесінде,O
пайда,O
болатын,O
құрылым,O
.,O
"
   
   ",O
Карбид,O
түйіршіктері,O
-материалдың,O
қаттылығы,O
мен,O
тозуға,B
төзімділігін,O
арттыруға,O
ықпал,O
ететін,O
металдардағы,O
көміртегі,O
және,O
басқа,O
элементтер,O
(,O
мысалы,O
",",O
вольфрам,O
",",O
хром,O
немесе,O
ванадий,O
),O
түзетін,O
қатты,B
бөлшектер,O
.,O
"
   
   ",O
Плазмалық,B
ағындар,I
-плазмалық,O
кесу,O
",",O
азоттау,O
және,O
беттік,O
өңдеу,O
сияқты,O
әртүрлі,O
процестерде,O
қолданылатын,O
бос,O
электрондар,O
мен,O
оң,O
иондардың,O
тең,O
саны,O
бар,O
иондалған,O
газ,B
ағындары,O
.,O
"
   
   ",O
Электрондық,B
және,I
иондық,I
сәулелер,I
-дәнекерлеуді,O
",",O
кесуді,O
және,O
бетті,O
өзгертуді,O
қоса,O
алғанда,O
",",O
материалдарды,O
өңдеу,O
үшін,O
қолданылатын,O
өңделетін,O
материалға,O
бағытталған,O
электрондар,O
немесе,O
иондар,O
ағындары,O
.,O
"
    
   ",O
Лазерлік,B
сәулелер,I
-дәлдігі,O
мен,O
энергия,O
концентрациясы,O
арқасында,O
кесу,O
",",O
дәнекерлеу,O
және,O
беттік,O
өңдеу,O
процестерінде,O
қолданылатын,O
жоғары,O
фокусталған,O
",",O
когерентті,O
фотон,O
ағындары,O
.,O
"
   
   ",O
Химиялық,B
және,I
термиялық,I
өңдеу,I
-тозуға,O
төзімділік,O
",",O
қаттылық,B
және,O
басқа,O
қасиеттерді,O
жақсарту,O
үшін,O
материалдың,O
беткі,O
қасиеттерін,O
өзгертуге,O
арналған,O
химиялық,O
және,O
термиялық,O
әдістерді,O
біріктіретін,O
процесс,O
",",O
мысалы,O
карбюризация,O
немесе,O
азоттау,O
.,O
"
   
   ",O
Электронды,B
сәулелік,I
өңдеу,I
-дәнекерлеу,O
",",O
балқыту,O
немесе,O
материалдарды,O
өңдеу,O
үшін,O
бетті,O
өзгертуге,O
электронды,O
сәулелерді,O
пайдалану,O
.,O
Бұл,O
әдіс,O
терең,O
ену,O
және,O
минималды,O
бұрмалау,O
сияқты,O
артықшылықтарға,O
ие,O
.,O
"
   
   ",O
Құрылымдық,B
қайта,I
құрылымдау,I
-механикалық,O
",",O
термиялық,B
өңдеу,I
немесе,O
материалдың,O
механикалық,O
қасиеттеріне,O
әсер,O
ететін,O
басқа,O
процестерден,O
туындауы,O
мүмкін,O
материалдың,O
ішкі,O
құрылымының,O
өзгерісі,O
.,O
"
   
   ",O
Фазалық,B
құрам,I
-материалдың,O
жалпы,O
қасиеттеріне,O
әсер,O
ететін,O
материалдағы,O
әртүрлі,O
фазалардың,O
(,O
қатты,B
",",O
сұйық,O
",",O
газ,B
тәрізді,O
),O
немесе,O
микроқұрылымдық,O
компоненттердің,O
әртүрлілігі,O
мен,O
олардың,O
қатынасы,O
.,O
"
   
   ",O
Дислокациялық,B
субқұрылымдар,I
-материалдың,O
кристалдық,O
құрылымындағы,O
оның,O
беріктігі,O
мен,O
қаттылығына,O
әсер,O
ететін,O
дислокациялардың,O
(,O
ақаулардың,O
),O
орналасуы,O
мен,O
тығыздығы,O
.,O
"
   
   ",O
Дислокацияны,B
қатайту,I
-дислокация,O
сызықтарының,O
қозғалысына,O
кедергі,O
келтіретін,O
және,O
пластикалық,O
деформацияны,B
қиындататын,O
дислокациялардың,O
болуынан,O
туындаған,O
материалдың,O
қаттылығы,O
мен,O
беріктігін,O
арттыру,O
.,O
"
   
   ",O
Қалдық,B
аустенит,I
-болаттың,O
тұтқырлығына,O
",",O
беріктігіне,O
және,O
тозуға,B
төзімділігіне,O
әсер,O
етуі,O
мүмкін,O
болатты,O
қатайтқаннан,O
кейін,O
қалатын,O
аустенит,B
(,O
бетке,O
бағытталған,O
текше,O
темір,O
),O
.,O
"
   
   ",O
Қатпарлы,B
және,I
пакеттік,I
мартенсит,I
-,O
өзінің,O
микроқұрылымдық,O
түрімен,O
сипатталатын,O
мартенсит,B
формалары,O
.,O
Қатпарлы,O
мартенсит,B
пластина,O
тәрізді,O
құрылымға,O
ие,O
",",O
ал,O
пакеттік,O
мартенсит,B
белгілі,O
бір,O
бағытта,O
орналасқан,O
мартенсит,B
рельстерінің,O
топтарынан,O
тұрады,O
.,O
"
   
   ",O
Скалярлық,B
және,I
артық,I
дислокация,I
тығыздығы,I
-скалярлық,O
дислокация,O
тығыздығы,O
материал,O
көлемінің,O
бірлігіне,O
шаққандағы,O
дислокация,O
сызықтарының,O
жалпы,O
ұзындығын,O
білдіреді,O
",",O
ал,O
артық,O
дислокация,O
тығыздығы,O
көбінесе,O
пластикалық,O
деформация,B
нәтижесінде,O
пайда,O
болатын,O
тепе,O
-,O
теңдік,O
немесе,O
базалық,O
деңгейден,O
тыс,O
дислокация,O
тығыздығын,O
білдіреді,O
.,O
"
   
   ",O
Тордың,B
қисықтығы,I
-,I
бұралу,I
-материалдардағы,O
кристалдық,B
тордың,I
деформациясын,B
сипаттайды,O
",",O
мұнда,O
қисықтық,O
иілуді,O
",",O
ал,O
бұралу,O
ширатуды,O
білдіреді,O
.,O
Бұл,O
деформациялар,B
дислокацияның,O
болуымен,O
және,O
қозғалуымен,O
байланысты,O
.,O
"
   
   ",O
Ішкі,B
кернеулер,I
-сыртқы,O
күштерді,O
қолданбайтын,O
материалдың,O
ішіндегі,O
кернеулер,O
.,O
Олар,O
материалдың,O
қасиеттеріне,O
әсер,O
ететін,O
біркелкі,O
емес,O
салқындатудан,O
",",O
фазалық,O
өзгерістерден,O
немесе,O
пластикалық,O
деформациядан,B
туындауы,O
мүмкін,O
.,O
"
   
   ",O
M6C,B
типті,I
карбид,I
-болатта,O
және,O
басқа,O
қорытпаларда,O
түзілетін,O
карбидтің,O
ерекше,O
түрі,O
(,O
мұндағы,O
M,B
-металл,O
элементі,O
),O
.,O
Бұл,O
карбидтер,O
қаттылығымен,O
және,O
тозуға,B
төзімділігімен,O
белгілі,O
және,O
тезкескіш,O
немесе,O
аспаптық,O
болаттардың,O
қасиеттерін,O
анықтауда,O
маңызды,O
рөл,O
атқарады,O
.,O
"
   
   ",O
Беттік,B
сәулелеу,I
-материалдың,O
беткі,O
қасиеттерін,O
",",O
оның,O
микроқұрылымы,O
мен,O
механикалық,O
қасиеттерін,O
қоса,O
өзгерте,O
алатын,O
электрондар,O
",",O
иондар,O
немесе,O
фотондар,O
сияқты,O
энергетикалық,O
бөлшектер,O
ағынының,O
немесе,O
сәулеленудің,O
материалдың,O
бетіне,O
әсер,O
ету,O
процесі,O
.,O
"
   
   ",O
Карбамидті,B
электролит,I
–,O
материалдың,O
қасиеттерін,O
жақсарту,O
мақсатында,O
металдарды,O
беттік,O
өңдеу,O
үшін,O
электрохимиялық,O
процестерде,O
",",O
соның,O
ішінде,O
электролиттік,O
-,O
плазмалық,O
азоттауда,O
жиі,O
қолданылатын,O
карбамид,O
бар,O
электролиттік,O
ерітінді,O
.,O
"
   
   ",O
Тезкескіш,B
болат,I
(,O
R6M5,B
),O
-жоғары,O
кесу,O
қасиеттерімен,O
және,O
тозуға,B
төзімділігімен,O
